Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
OVERRIDE=DLC04								
								
								
&Text.Guards.RollCallStart	Roll up! Roll up!	Tretet näher! Tretet näher!	Approchez ! Approchez !	¡Pasen y vean!	Послушайте! Послушайте!	Accorrete! Accorrete!	快来！ 快来！ 	寄ってらっしゃい、 見てらっしゃい！  
&Text.Guards.RollCallStart	Smile like you mean it!	"Lächelt, so echt ihr könnt!"	Je veux voir des sourires !	¡Sonreíd de verdad!	Улыбайтесь естественнее!	Sorridete come se foste contenti!	会心一笑！ 	心から笑えっての！  
&Text.Guards.RollCallStart	"Much like our last audience, I am not amused…"	"Fast genau wie unser letztes Publikum, das gefällt mir nicht …"	"Tout comme le public précédent, je ne trouve pas ça drôle..."	"Como nuestra última audiencia, no estoy impresionado..."	"Мне скучно, как и зрителям на прошлом выступлении…"	"Proprio come il pubblico dell’ultima volta, io non mi diverto..."	很像我们上一个观众， 我笑不出来……	こないだの客みたいに面白くない… 
&Text.Guards.RollCallStart	What a sorry looking bunch	Was für ein armseliger Haufen	Quel ramassis de bons à rien.	Vaya patético grupito	Что за жалкое сборище!	Che banda pietosa!	多可怜兮兮的一群	どいつもシケた顔しやがって… 
&Text.Guards.RollCallStart	This… is why our reviews are so bad	Deswegen … bekommen wir so schlechte Kritiken	Voilà pourquoi nos évaluations sont si mauvaises.	Esto es por lo que las críticas son tan malas	Именно поэтому… на нас пишут разгромные рецензии	Ecco perché abbiamo pessime recensioni	这…… 就是我们的评价如此糟的原因	これだから… ウチの評判は最悪なんだ
								
								
&Text.Guards.RollCallMain	Please be careful when applying your face paints…	"Seid vorsichtig, wenn ihr die Gesichtsfarben auftragt …"	Faites attention en appliquant votre maquillage...	"Por favor, tened cuidado cuando os pintéis la cara..."	"Будьте осторожны, накладывая грим…"	Attenti quando vi applicate le pitture per il viso...	使用你的面部涂料时请小心些	フェイスペイントは慎重に塗れよ… 
&Text.Guards.RollCallMain	Who keeps dropping banana skins?!	Wer lässt hier ständig Bananenschalen fallen?!	Qui laisse tomber des peaux de banane à chaque fois ?!	¿Quién no deja de tirar pieles de plátano?	Кто это постоянно роняет шкурки от бананов?!	Piantatela di lasciare in giro bucce di banana!	是谁一直在扔香蕉皮？！ 	バナナの皮をポイ捨てしてるヤツ？ 
&Text.Guards.RollCallMain	Ticket sales are dwindling…	Die Ticketverkäufe gehen zurück …	Les ventes de tickets sont à la baisse...	Estamos vendiendo menos entradas…	Продажи билетов продолжают падать…	Le vendite dei biglietti stanno calando...	售票量正在减少…… 	チケットの売上がジリ貧だ… 
&Text.Guards.RollCallMain	Don't feed the animals any scraps	Gebt den Tieren keine Essensreste	Ne donnez rien à manger aux animaux.	Nada de dar sobras a los animales	Не кормите животных с рук	Non date gli avanzi in pasto agli animali	别给动物喂任何剩饭	動物たちに残飯は食わせるな
&Text.Guards.RollCallMain	Stop eating the custard Pies! 	"Hört auf, von den Sahnetorten zu essen! "	Arrêtez de manger les tartes à la crème ! 	¡Dejad de comeros las tartas de crema! 	Хватить есть торты с кремом! 	Piantatela di mangiare le torte alla crema! 	别吃蛋奶派了！ 	パイを食うのはよせ！  
&Text.Guards.RollCallMain	The public are PAYING to see you!	"Die Zuschauer BEZAHLEN dafür, euch zuzusehen!"	Le public PAIE pour vous voir !	¡El público PAGA por veros!	"Зрители ЗАПЛАТИЛИ, чтобы на вас посмотреть!"	Il pubblico PAGA per vedervi!	人们都花钱来看你呢！ 	客はおまえを見に来てるんだぞ！  
&Text.Guards.RollCallMain	The Ringmaster is concerned…	Der Zirkusdirektor ist beunruhigt …	Le dompteur est inquiet...	El maestro de ceremonias está preocupado...	Ведущий недоволен…	Il Presentatore è preoccupato...	马戏团领班很担心…… 	団長は不安がっている… 
&Text.Guards.RollCallMain	The Ringmaster's hat is NOT a prop	Der Hut des Zirkusdirektors ist KEINE Requisite	Le chapeau du dompteur n'est PAS un accessoire.	El sombrero del maestro de ceremonias NO es atrezo	Шляпа ведущего — не реквизит!	Il cappello del Presentatore NON è un oggetto di scena	马戏团领班的帽子并不是道具	団長の帽子は小道具じゃない
								
								
&Text.Inmates.GuardBanter	My armpits are chafe central…	Meine Achseln sind ganz wund gescheuert …	"Mes aisselles me grattent, c'est hallucinant."	Mis sobacos están irritados...	"Подмышки натерло так, что с ума можно сойти…"	Mi prudono le ascelle...	我的两腋都擦伤了	脇の下がすっごいこすれる… 
&Text.Inmates.GuardBanter	I can't remember a life before leotards	"Ich weiß gar nicht mehr, wie es war, keine Gymnastikanzüge zu tragen"	J'ai oublié ce qu'était ma vie avant le justaucorps.	No recuerdo la vida antes de los leotardos	"Уже и не помню, когда я это трико последний раз снимал"	La mia vita non aveva senso prima che indossassi una tutina	穿上紧身衣之前的生活我都记不得了	レオタード以前の人生が思い出せない
&Text.Inmates.GuardBanter	Watch me lift!	"Guckt mal, wie ich hebe!"	Regarde-moi faire de la muscu !	¡Miradme levantar!	"Смотрите, какой вес я тяну!"	Guarda che forza!	看我来举一举！	さあ、 持ち上げるぞ！  
&Text.Inmates.GuardBanter	I bet I could lift it…	"Ich wünschte, ich könnte es heben …"	Je parie que je peux soulever ça...	Sé que podría levantarlo...	"Уверен, что смогу это поднять…"	Scommetto che potrei sollevarlo...	我敢说我能把它举起来…… 	持ち上げられるはずだ… 
&Text.Inmates.GuardBanter	Want to witness another feat of strength?!	Wollt ihr noch eine Demonstration meiner Stärke sehen?!	Tu veux admirer un autre tour de force ?!	¿¡Queréis ver otra proeza de fuerza?!	Хотите еще демонстрацию моей невероятной силы?!	Vuoi assistere a un’altra prova di forza?!	想看另一场力气表演？！ 	次の力技を見たくはないか？ 
&Text.Inmates.GuardBanter	"If you can name it, I can lift it!"	"Wenn es ein Wort dafür gibt, kann ich es auch heben!"	"Choisis ce que tu veux, je parie que je peux le soulever !"	"¡Si existe, puedo levantarlo!"	Только скажите что — всё подниму!	"Tu di’ una cosa, e io la sollevo!"	只有你说不出的，没有我举不起的！ 	お望みのモノを持ち上げてみせよう！  
&Text.Inmates.GuardBanter	For my next feat of strength…	Nun die nächste Demonstration meiner Stärke …	Pour mon prochain tour de force...	Para mi próxima proeza de fuerza...	Для моей следующей демонстрации…	"Per la mia prossima prova di forza, eseguirò..."	为了我下一场力气表演…… 	次のわが力芸は… 
&Text.Inmates.GuardBanter	Watch in awe!	Seht und staunt!	Tu vas en prendre plein les yeux !	¡Vean y admiren!	Смотрите и трепещите!	Ammira!	敬仰吧！  	とくとご覧あれ！  
&Text.Inmates.GuardBanter	These outfits don't leave much to the imagination…	Diese Kostüme überlassen nicht viel der Vorstellungskraft …	Ces tenues ne cachent pas grand-chose...	Estos trajes no dejan mucho a la imaginación...	"Довольно откровенные наряды, конечно…"	Questi costumi non lasciano molto all’immaginazione...	这些装备并没有什么可以想象的空间…… 	この衣装は露出が多すぎる気が… 
&Text.Inmates.GuardBanter	I wish I could wear a jacket or something	"Ich wünschte, ich könnte mir ’ne Jacke drüberziehen oder so"	Si seulement je pouvais porter une veste.	Ojalá pudiese llevar una chaqueta o algo	"Мне бы хоть какую-нибудь куртку, что ли…"	"Vorrei poter indossare una giacca, o qualcosa di simile"	但愿我能穿件夹克什么的	できればジャケットとかを着たいよ
&Text.Inmates.GuardBanter	My muscles have muscles	Meine Muskeln haben Muskeln	Mes muscles ont des muscles.	Mis músculos tienen músculos	Даже у моих мускулов есть мускулы!	Perfino i miei muscoli hanno i muscoli	我的肌肉结实着呢	全身ムキムキだ
&Text.Inmates.GuardBanter	I once pulled that train along!	Ich hab schon mal den ganzen Zug gezogen!	"Une fois, j'ai tiré ce train tout seul !"	¡Una vez arrastré ese tren!	Я когда-то этот поезд тащил!	Una volta ho trainato un treno!	有一次我拉着那列火车向前进！ 	かつては列車も動かしてみせた！  
&Text.Inmates.GuardBanter	I can lift a dozen men!	Ich kann ein Dutzend Männer heben!	Je peux soulever une dizaine d'hommes !	¡Puedo levantar a 12 hombres!	Я могу десять человек поднять!	Posso sollevare una dozzina di uomini!	我能举起一打人！ 	12人の男を持ち上げられる！  
&Text.Inmates.GuardBanter	Watch this!	Guckt euch das an!	Regarde !	¡Mirad!	Смотрите!	Sta’ a guardare!	看好咯！ 	これを見よ！  
