Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
OVERRIDE=Dictator											
&Text.Guards.RollCallStart	Hail our leader!	Lang lebe unser Anführer!	Longue vie au chef !	¡Saludemos al líder!	Ура нашему вождю!	"Ave, nostro leader!"	领袖万岁！	われらがリーダーに敬礼！			
&Text.Guards.RollCallStart	Behold our Glorious Leader!	Seht unseren Glorreichen Anführer!	Contemplez notre admirable chef !	¡Admirad a nuestro glorioso líder!	Узрите нашего славного вождя!	Ammirate il nostro glorioso leader!	看， 是我们伟大的领袖！	栄光のリーダーをかつ目せよ！			
&Text.Guards.RollCallStart	Praise Glorious Leader!	Preiset den Glorreichen Anführer!	Gloire à notre chef !	¡Alabad a nuestro glorioso líder!	Слава великому вождю!	Sia lode al glorioso leader!	赞美伟大的领袖！	栄光のリーダーを称えよ！			
&Text.Guards.RollCallMain	"Because of him, the capitalist pigs live in wonderment of us"	"Er ist der Grund dafür, dass uns die Kapitalistenschweine bewundern."	"Grâce à lui, ces ordures de capitalistes nous révèrent."	"Gracias a él, los cerdos capitalistas se asombran con nosotros."	Благодаря ему капиталистические свиньи сморят на нас в изумлении	"Grazie a lui, quei porci capitalisti non possono fare a meno di ammirarci"	因为他， 资本主义猪猡都羡慕我们的生活	醜い成金どもがここの暮らしに感嘆するのも、  閣下のおかげだ			
&Text.Guards.RollCallMain	He watches over us all	Er wacht über uns alle.	Il nous protège tous.	Nos protege ante todo.	Он заботится обо всех нас	Lui veglia su noi tutti	他护佑着我们所有人	閣下は皆を見守ってくださる			
&Text.Guards.RollCallMain	He deserves our utmost respect	Er verdient unseren höchsten Respekt.	Il mérite notre plus grand respect.	Merece nuestro mayor respeto.	Он заслуживает глубочайшего почтения	Merita il nostro più totale rispetto	他理应受万人景仰	閣下には最大限の敬意を示すべし			
&Text.Guards.RollCallMain	"Look around, see what he's given us!"	"Seht, was er uns geschenkt hat!"	"Regardez autour de vous, tout vient de lui !"	¡Mirad a vuestro alrededor y lo que nos ha dado!	"Посмотрите, сколько всего он нам даровал!"	Guardatevi intorno: quante cose ci ha dato!	看看周围吧， 看看他给我们的一切！	周りを見よ、  閣下がわれらに与えしものを！			
&Text.Guards.RollCallMain	We have many reasons to bend the knee	"Wir haben viele Gründe, vor ihm zu knien."	Les raisons de nous prosterner ne manquent pas.	Tenemos muchos motivos para inclinarnos ante él.	У нас столько причин преклонить колени	Abbiamo molte ragioni per prostrarci	我们有很多屈膝的理由	われらは閣下の前にひれ伏すべき、  多くの理由がある			
&Text.Guards.RollCallMain	We should be thankful	Wir sollten dankbar sein.	Soyons reconnaissants.	Debemos estar agradecidos.	Мы должны быть благодарны	Dovremmo essere grati	我们应该心怀感激	われらは感謝すべきだ			
&Text.Guards.RollCallMain	We are blessed	Wir sind gesegnet.	Nous sommes bénis.	Nos ha bendecido.	Нам так повезло	Siamo benedetti	我们受到了祝福	われらは恵まれている			
&Text.Guards.RollCallMain	"People envy us, and rightly so"	"Die Menschen beneiden uns, und zurecht."	"Les autres nous envient, à juste titre."	"El mundo nos envidia, y con motivo."	"Люди нам завидуют, и не напрасно"	"La gente ci invidia, e per buoni motivi"	人们嫉妒我们， 也理应如此	人々がうらやむのも当然のことだ			
