Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
HUD.Tutorial.Combat	COMBAT	KAMPF	COMBAT	COMBATE	ДРАКА	COMBATTIMENTO	战斗	戦闘
HUD.Tutorial.Attack	Attack	Angriff	Attaquer	Atacar	Атака	Attacco	攻击	攻撃
HUD.Tutorial.Block	Block	Blocken	Contrer	Bloquear	Блок	Blocca	格挡	防御
HUD.Tutorial.TargetLock	Toggle Target Lock	Zielerfassung umschalten	Activer verr. cible	Cambiar fijar objetivo	Переключ. захвата цели	Aziona Punta obiettivo	开启/关闭目标锁定	標的のロックと解除
HUD.Tutorial.CycleTarget	Cycle Locked Targets	Erfasste Ziele durchlaufen	Naviguer cibles verr.	Alternar objetivo fijado	Цикл. переключ. захваченных целей	Scorri obiett. puntati	循环选择锁定的目标	標的の切り替え
								
HUD.Tutorial.Routine	ROUTINE	ROUTINE	ROUTINE	RUTINA	РАСПОРЯДОК	ROUTINE	例行活动	日課
HUD.Tutorial.RoutineInfo	Follow the yellow arrow to your next routine. Stick to routines to avoid unwanted guard attention.	"Folge dem gelben Pfeil zu deiner nächsten Routine. Halte die Routinen ein, um die Aufmerksamkeit der Wärter zu meiden."	Suivez la flèche jaune jusqu'à votre prochaine routine. Suivez vos routines pour ne pas attirer la Méfiance des gardiens.	Sigue la flecha amarilla hasta tu siguiente rutina. Sigue las rutinas para evitar atención no deseada de los guardias.	"Переход к следующему пункту — по желтой стрелке. Соблюдайте режим, чтобы избежать ненужного внимания охраны."	Segui la freccia gialla per la tua prossima routine. Segui la routine per non attirare le guardie.	跟着黄色箭头前往下一个例行活动。 参加例行活动， 避免引起守卫不必要的注意。 	「黄色い矢印」を目印に、 次の日課へ向かおう。 日課をきちんとこなしていれば、 看守に怪しまれない。 
								
HUD.Tutorial.Alertness	SECURITY LEVEL	SICHERHEITSLEVEL	NIVEAU DE SÉCURITÉ	NIVEL DE SEGURIDAD	УР. БЕЗОПАСНОСТИ	LIVELLO SICUREZZA	戒备等级	警戒度
HUD.Tutorial.AlertnessInfo	"Security Level increases when guards discover prison damage, routines are missed, or contraband is discovered. A high Security Level will result in more guards patrolling and dogs being released."	"Das Sicherheitslevel erhöht sich, wenn Wärter Schäden am Gefängnis oder Schmuggelware entdecken, oder Routinen versäumt werden. Ein hohes Sicherheitslevel führt zu mehr patrouillierenden Wärtern und freigelassenen Hunden."	"Le niveau de sécurité augmente quand les gardiens découvrent des dommages, de la contrebande ou que des routines n'ont pas été faites. Un haut niveau de sécurité rend les patrouilles plus fréquentes et les chiens sont lâchés."	"El nivel de seguridad aumenta cuando los guardias descubren daños en la prisión, faltas en las rutinas o contrabando. Un nivel de seguridad alto tendrá como resultado más patrullas de los guardias y el uso de perros."	"Уровень безопасности повышается, когда охрана обнаруживает повреждение тюрьмы, нарушение режима или контрабанду. Высокий уровень безопасности приведет к активному патрулированию с собаками."	"Il livello di sicurezza aumenta quando le guardie scoprono danni alla prigione, routine non rispettate o contrabbandi. Con più guardie in pattuglia e cani in perlustrazione si ha un livello di sicurezza più alto."	守卫发现监狱受损、  有人未参加例行活动或是查出违禁品时， 戒备等级就会上升。 戒备等级高时， 巡逻的守卫数量会增加， 且会出动警犬。 	破壊のあとや禁制品が見つかったり、 日課をすっぽかすと「警戒度」が上昇し、 巡回する看守の数が増えると共に、 番犬が解き放たれる。 
								
HUD.Tutorial.Status	STATUS	STATUS	STATUT	ESTADO	СТАТУС	STATO	状态	ステータス
HUD.Tutorial.StatusInfo	"Health, Stamina and Heat make up your character's current status. Suspicious activity increases your heat with the guards."	"Gesundheit, Ausdauer und Alarmierung machen den aktuellen Status deines Charakters aus. Verdächtige Aktivitäten erhöhen deine Alarmierung bei den Wärtern."	"La Santé, l'Endurance et la Méfiance forment le statut actuel de votre personnage. Des activités suspectes augmentent votre Méfiance auprès des gardes."	"El estado actual de tu personaje se compone de salud, energía y presión. Las actividades sospechosas aumentan la presión de los guardias contigo."	"Текущий статус персонажа состоит из выносливости, здоровья и раздражения охранников. Подозрительная активность повышает уровень раздражения охранников."	"Salute, Energia e Fervore costituiscono lo stato del tuo personaggio. Le attività sospette aumentano il Fervore con le guardie."	你角色的当前状态由生命值、  耐力和关注度组成。 可疑举动会提高守卫对你的关注度。 	キャラクターには「ライフ」「スタミナ」 「ヒート」の3つのステータスが存在する。 不審な行動が看守に見つかると 「ヒート」が上昇する。 
								
HUD.Tutorial.UseItemHeader	USE Item	Gegenstand NUTZEN	UTILISER l'objet	USAR objeto	ИСП. предмет	USA oggetto	使用物品	アイテムの使用
