Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese		
&Text.Emote.ChipSpeech	Розколюй тут!	Hacke hier!	Casse ici !	¡Pica aquí!	Ломай тут!	Colpisci qui!	凿这儿！ 	ここを崩せ！		
&Text.Emote.CutSpeech	Ріж тут!	Säge hier!	Coupe ici !	¡Corta!	Режь тут!	Taglia qui!	砍这儿！ 	ここを切れ！		
&Text.Emote.DigSpeech	Копай тут!	Grabe hier!	Creuse ici !	¡Cava aquí!	Рой тут!	Scava qui!	挖这儿！ 	ここを掘れ！		
&Text.Emote.FightSpeech	Бийся з ними!	Bekämpfe sie!	Attaque-le !	¡Lucha!	Напади на них!	Combatti!	跟他们打！ 	戦え！		
&Text.Emote.FollowSpeech	Йди за мною!	Folge mir!	Suis-moi !	¡Sígueme!	Иди за мной!	Seguimi!	跟我来！ 	ついてこい！		
&Text.Emote.HelloSpeech	Агов, привіт!	Hallo auch!	Salut !	¡Hola!	"Эй, привет!"	"Ehi, ciao!"	大家好呀！ 	こんにちは！		
&Text.Emote.HelloSpeech	Здоров, як там?	Hi!	Yo !	¿Qué tal?	Как оно?	Ehilà!	你好！ 	ちわっす！		
&Text.Emote.HelloSpeech	О, вітання!	"Oh, hallo!"	Bonjour !	"¡Hey, hola!"	"Эгей, привет!"	"Ohh, ciao!"	哦， 你好！ 	やあ、どうも！		
&Text.Emote.HelpSpeech	Ось би трішки допомогли!	Etwas Hilfe wäre nicht schlecht!	Un petit coup de main par ici !	¡Algo de ayuda no estaría mal!	Помощь не помешала бы!	Un po’ di aiuto non guasterebbe!	帮个忙呗！ 	ちょっと手を借りたい！		
&Text.Emote.HelpSpeech	Мені потрібна допомога!	Hilfe!	À l'aide !	¡Ayuda!	Нужна помощь!	Mi serve aiuto!	我需要帮助！ 	助けてくれ！		
&Text.Emote.HelpSpeech	Допоможи, будь ласка!	Ich brauche Hilfe!	J'ai besoin d'aide !	¡Necesito ayuda!	Подсобите-ка мне!	Ho bisogno di aiuto!	我需要协助！ 	手を貸してくれ！		
&Text.Emote.HelpSpeech	Чи може мені допомогти хто-небудь?!	Kann mir hier jemand helfen?!	Quelqu'un peut m'aider ?	¡¿Me puede ayudar alguien aquí?!	Мне может кто-нибудь помочь?!	Qualcuno può aiutarmi?	有人能帮我一把吗？ 	助けに来てくれ！		
&Text.Emote.NotNowSpeech	Не зараз…	Nicht jetzt ...	Pas tout de suite...	Ahora mismo no...	Не прямо сейчас...	Non adesso...	现在不行…… 	今はよすんだ…		
&Text.Emote.OKSpeech	Гаразд!	OK!	OK !	¡VALE!	ОК!	Ok!	好！ 	いいぞ！		
&Text.Emote.Sorry	Вибач	Sorry	Désolé	Perdón	Извини	Scusa	抱歉	すまない		
&Text.Emote.SorrySpeech	Мої вибачення!	Entschuldigung!	Excuse-moi !	¡Pido disculpas!	Мои извинения!	Scusami!	真对不起！ 	悪かった！		
&Text.Emote.SorrySpeech	Даруйте мені!	Tut mir ECHT leid!	Vraiment désolé !	¡Lo siento mucho!	Мне ТАК жаль.	Mi dispiace molto!	实在抱歉！ 	マジですまん！		
&Text.Emote.SorrySpeech	Пробачте за це!	Tut mir leid!	Pardon !	¡Lo siento!	Извини меня!	Mi dispiace!	不好意思啊！ 	今のは悪かった！		
&Text.Emote.ThanksSpeech	Дякую за це!	Danke dafür!	Merci !	¡Gracias!	Спасибо тебе за это!	Grazie mille!	谢谢你！ 	ありがとう！		
&Text.Emote.ThanksSpeech	Будьмо!	Danke!	Cimer !	¡Salud!	Будь!	Grazie!	谢谢！ 	助かった！		
&Text.Emote.ThanksSpeech	Будьмо, друже!	"Danke, Kumpel!"	"Merci, vieux !"	"¡Salud, colega!"	"Будь, приятель!"	"Grazie, fratello!"	谢了， 伙计！ 	やるねえ、相棒！		
&Text.Emote.ThanksSpeech	Дякую, друзяко!	"Danke, Kumpel!"	Merci gros !	¡Gracias compi!	"Спасибо, брат!"	Grazie amico!	谢了， 朋友！ 	ありがとさん！		
&Text.Emote.ThanksSpeech	"Чудово, дякую!"	"Super, danke!"	"Parfait, merci !"	"¡Excelente, gracias!"	"Отлично, спасибо!"	"Fantastico, grazie!"	好极了， 谢谢！ 	ばっちりだ、どうも！		
&Text.Emote.ThanksSpeech	"Дуже файно, дякую!"	"Toll, danke!"	"Cool, merci !"	"¡Bien hecho, gracias!"	"Здорово, спасибо!"	"Bene, grazie!"	漂亮， 谢谢！ 	今のはナイス！		
