Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese				
&Text.Quest.ArtsAndCrafts.Desc	You're handy right?\n\nWhen you get time could you make me a $ItemToCraft?	"Du bist geschickt, nicht wahr?\n\nWenn du Zeit hast, könntest du mir „$ItemToCraft“ machen?"	"Tu es bricoleur, n'est-ce pas ?\n\nSi t'as le temps, tu pourrais me faire l'objet $ItemToCraft ?"	"Eres manitas, ¿verdad?\n\n¿Cuando tengas tiempo me podrías hacer un/a $ItemToCraft?"	"Сделаешь для меня кое-что, если будет время?\n\n$ItemToCraft, вот что мне нужно."	"Te la cavi coi lavori manuali, vero?\n\nQuando hai tempo, potresti farmi questo, $ItemToCraft?"	你手很巧对吧？ \n\n你有空的话， 帮我造个 $ItemToCraft 如何？ 	あんたって手先が器用なんだろ？\n\nもし時間があったら、 $ItemToCraft を作ってくれないか？				
&Text.Quest.ArtsAndCrafts.Desc	You look pretty smart - do you know how to make a $ItemToCraft?\n\nIf you could craft one I'd appreciate it.	"Du siehst ziemlich clever aus – weißt du, wie man „$ItemToCraft“ fertigt?\n\nWenn du das machen kannst, wäre das toll."	"Tu as l'air intelligent - Sais-tu comment faire l'objet $ItemToCraft ?\n\nSi tu pouvais m'en fabriquer un, je serais ravi."	"Pareces bastante inteligente, ¿sabes cómo hacer un/a $ItemToCraft?\n\nSi pudieses ayudarme, te lo agradecería."	"Эй, умник, ты же знаешь, как делается $ItemToCraft?\n\nЕсли сумеешь смастерить, я тебя отблагодарю."	"Sembri un tipo intelligente, sai come fare questo oggetto, $ItemToCraft?\n\nTi sarei riconoscente se me ne facessi uno."	你看起来挺聪明的。 你知道如何制作 $ItemToCraft 吗？ \n\n如果你能帮我造一个的话， 我会感激你的。 	あんたは賢そうだし、 $ItemToCraft の作り方は知ってるかい？\n\n1個作ってくれると助かるんだが。 				
&Text.Quest.ArtsAndCrafts.Desc	Got a second?\n\nI've heard rumours about your incredible dexterity. Could ya make me a $ItemToCraft?	Hast du kurz Zeit?\n\nIch habe von deiner unglaublichen Geschicklichkeit gehört. Kannst du mir „$ItemToCraft“ machen?	T'as une minute ?\n\nLe bruit court que tu as une dextérité incroyable. Peux-tu me faire l'objet $ItemToCraft ?	¿Tienes un segundo?\n\nMe han dicho que eres muy manitas. ¿Me podrías hacer un/a $ItemToCraft?	Есть минутка?\n\nХодят слухи про твои незаурядные способности. Мне нужно кое-что: $ItemToCraft. Можешь сделать?	"Hai un minuto?\n\nTutti parlano della tua abilità eccezionale. Potresti farmi una cosa, $ItemToCraft?"	有空吗？ \n\n听说你手特别巧。 能帮我做个 $ItemToCraft 吗？ 	ちょっといいかい？\n\nあんたは手先が 器用だって聞いてね。 $ItemToCraft を作ってくれないか？				
&Text.Quest.ArtsAndCrafts.Desc	I heard you were REALLY good with your hands…\n\nHow about you magic me up a $ItemToCraft?	"Ich habe gehört, dass du ECHT gut mit deinen Händen bist ...\n\nWie wäre es, wenn du mir „$ItemToCraft“ zauberst?"	On m'a dit que tu es TRÈS BON de tes mains...\n\nEt si tu me fabriquais l'objet $ItemToCraft ?	He oído que trabajas MUY bien con las manos…\n\n¿Me podrías hacer un/a $ItemToCraft?	"Говорят, у тебя руки растут откуда надо…\n\nЗнаешь, как делается $ItemToCraft? Смастеришь для меня?"	"Ho sentito dire che sei MOLTO in gamba con le mani...\n\nChe ne dici di creare questa cosa per me, $ItemToCraft?"	听说你是个能工巧匠…… \n\n能帮我变个 $ItemToCraft 出来吗？ 	あんたは魔法の指を 持ってるそうだが… \n\n $ItemToCraft を作ってくれないか？				
&Text.Quest.ArtsAndCrafts.Desc	"I hear you're someone who knows how to craft things…\n\nI'm looking for a $ItemToCraft, could that be done? I'd pay for your time of course."	"Ich habe gehört, dass du handwerklich begabt bist.\n\nIch suche „$ItemToCraft“, kannst du das herstellen? Ich würde dich natürlich bezahlen."	"On m'a dit que tu sais fabriquer des choses...\n\nJe cherche l'objet $ItemToCraft, tu pourrais faire ça ? Je te paierais, bien sûr."	"He oído que se te da bien hacer cosas…\n\nYo estoy buscando un objeto, $ItemToCraft, ¿podrías hacerlo? Te pagaré, claro."	"Говорят, ты настоящий умелец…\n\nМне нужно кое-что: $ItemToCraft. Сделаешь? Я, конечно же, заплачу."	"Ho sentito dire che sai fabbricare le cose...\n\nHo bisogno di un oggetto, $ItemToCraft, sapresti crearlo? Ti pagherò, ovviamente."	听说你知道怎么制作东西…… \n\n我想要个 $ItemToCraft ， 你能帮我做出来吗？  我当然不会让你白干。 	あんたはモノ作りの名人らしいな。 \n\n $ItemToCraft を探してるんだが、 作れるかい？もちろん礼はするさ。 				
&Text.Quest.ArtsAndCrafts.Desc	I'm told you're good at making things. Prove it!\n\nMake me a $ItemToCraft. I'll even throw some money your way…	"Mir wurde gesagt, du kannst gut Dinge fertigen. Beweis es!\n\nMach mir „$ItemToCraft“. Ich geb dir sogar etwas Geld dafür ..."	On m'a dit que tu es bon pour fabriquer des trucs. Prouve-le !\n\nFais-moi l'objet $ItemToCraft. Je te donnerai même de l'argent...	Me han dicho que se te da bien hacer cosas. ¡Demuéstralo!\n\nHazme un/a $ItemToCraft. Incluso te puedo pagar...	"Говорят, ты умеешь делать разные штуки. Докажешь?\n\nМне нужно кое-что: $ItemToCraft. Я тебе даже денег дам..."	"Mi hanno detto che te la cavi a creare cose. Dimostralo!\n\nFammi questo oggetto, $ItemToCraft. Potrei anche darti dei soldi..."	听说你很擅长制作东西。 证明给我看！ \n\n帮我做个 $ItemToCraft 吧。 我甚至愿意付你钱…… 	あんたはモノを作るのが 得意だと聞いた。 だったら証明して もらおうか！\n\n $ItemToCraft を作ってみせな。 ちゃんと金だって払うからよ… 				
&Text.Quest.BeatTheBully.Desc	$CombatTarget has been a constant pest ever since I arrived here. I'm tired of looking over my shoulder and being the victim! It's time for action!	"$CombatTarget ist mir schon seit meiner Ankunft hier ein Dorn im Auge. Ich habe es satt, über meine Schulter zu schauen und das Opfer zu sein! Zeit zu handeln!"	$CombatTarget a été une nuisance permanente depuis que je suis là. J'en ai marre de regarder derrière moi et d'être une victime ! L'heure est à l'action !	$CombatTarget ha sido una carga desde que llegué aquí. ¡Qué hartura de tener que andarme con cuatro ojos y ser la víctima! ¡Hora de actuar!	"$CombatTarget только и делает, что вредит мне, с тех пор, как я здесь. Мне надоело все время оглядываться через плечо и быть жертвой! Время действовать!"	$CombatTarget non ha mai smesso di essere una scocciatura da quando sono qui. Sono stufo di guardarmi le spalle ed essere la vittima! È ora di agire!	自从我来到这里， $CombatTarget 就一直给我找麻烦。 我厌倦了整天担惊受怕被人欺负！ 是时候反抗了！ 	ここへ来てからずっと、 $CombatTarget がイヤがらせを してきやがって… けどな、 もう決めたんだ。 あいつのオモチャに されるのはウンザリだ！ ケリをつけてやらあ！				
&Text.Quest.BeatTheBully.Desc	"Your knuckles look like they've seen a fair wedge of action, chummy. Would you do me favour and roll out a beatdown on that bully $CombatTarget, as they are really doing our heads in."	"Deine Knöchel sehen aus, als hätten sie schon manchen Kampf gesehen, Kumpel. Tust du mir einen Gefallen und teilst $CombatTarget ordentlich Dresche aus? Wir sind genervt."	"On dirait que tes poings ont eu leur dose d'action, mon pote. Tu me ferais une fleur en organisant le passage à tabac de cette brute de $CombatTarget, il nous rend vraiment dingue."	"Tus nudillos parecen haber tenido un par de encuentros, colega. ¿Me harías un favor y le darías una paliza a $CombatTarget? Nos está mareando demasiado."	"Твои кулаки, похоже, бывали в деле. $CombatTarget не дает нам покоя, сделай одолжение, вколоти немного ума-разума в эту скотину."	"Le tue nocche sembrano aver visto un bel po’ di azione, mi sembra. Mi faresti un favore? Potresti scatenare una rissa con quell’arrogante di $CombatTarget? Ci sta facendo impazzire."	伙计， 你看上去战斗经验丰富。 能否帮我个忙， 狠狠教训 $CombatTarget 那个恶霸一顿， 因为我们这日子真的没法过了。 	そいつは修羅場を くぐってきた拳だな、相棒。 そこでひとつ頼みがある。 あの乱暴者の $CombatTarget を懲らしめてやってくれ。 マジで手に負えねえんだ。 				
&Text.Quest.BeatTheBully.Desc	"Some people need reminding of their place in the prison heirachy! For instance, $CombatTarget thinks picking on weaker inmates is funny. How about we bully the bully?"	"Einige Leute müssen an ihren Platz in der Gefängnishierarchie erinnert werden! $CombatTarget denkt z. B., dass es lustig ist, schwächere Gefangene zu vermöbeln. Und wenn wir brutal zu dem Brutalo sind?"	"Il faut rappeler à certains leur place dans la hiérarchie de cette prison ! Par exemple, $CombatTarget s'amuse à attaquer les détenus plus faibles que lui. Et si on tabassait la grosse brute ?"	"¡Algunos necesitan que les recuerden cuál es su sitio en la jerarquía de la prisión! Por ejemplo, $CombatTarget cree que abusar de los presos más débiles es divertido. ¿Y si abusamos del abusón?"	"Некоторым людям стоит напомнить их место в тюремной иерархии! Например, $CombatTarget думает, что обижать тех, кто послабее — это очень весело. Позадираем задиру?"	"Alcune persone devono ricordarsi del loro posto nella gerarchia della prigione! Ad esempio, $CombatTarget crede che sia divertente prendersela con i detenuti più deboli. E se facessimo i bulli con il bullo?"	某些人以为自己能在监狱里称王称霸了， 得教教他们做人！ 比如说， $CombatTarget 觉得欺负比自己弱的囚犯是一件很爽的事。 让恶霸也尝尝被欺负的滋味如何？ 	この刑務所にゃ、 てめえの立場ってモンが わかってねえヤツが いやがってな！ 例えば $CombatTarget の野郎は、 か弱い囚人をいじめて 楽しんでやがる。 だったらいじめっ子を いじめてやろうぜ？				
&Text.Quest.BeatTheBully.Desc	Folk round here have been talking… Talking too much… One chump more than others. Fancy reminding $CombatTarget that 'loose lips sink ships'? 	"Hier wird geredet ... zu viel geredet ... etwas mehr als woanders. Hast du Lust, $CombatTarget daran zu erinnern, die Klappe zu halten? "	Les gens ont causé ici... Trop causé... Mais un crétin a causé plus que d'autres. Ça te dit de rappeler à $CombatTarget que les murs ont des oreilles ? 	La gente por aquí habla mucho... Demasiado... Sobre todo alguien en particular. ¿Quieres que le recordemos a $CombatTarget que en boca cerrada no entran moscas? 	"Тут все любят поболтать… И болтают слишком много… Особенно один человек. $CombatTarget нуждается в напоминании, что язык до добра не доведет. "	"Da queste parti la gente parla... troppo... Un idiota più degli altri. Vorresti ricordare a $CombatTarget che è meglio tacere, perché ‘il nemico ti ascolta’? "	这一带人们都在说个没完…… 不该说的也说了…… 其中有一人特别多嘴。 怎么样， 教教 $CombatTarget 言多必失的道理吧？  	ここのムショには おしゃべりが多いが… あの野郎だけは 許しちゃおけねえ。 「口は災いのもと」ってことを、 $CombatTarget に教えてやっちゃくれねえか？				
