Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
&Text.Guards.RollCallStart	"Так, ви всі, слухайте!"	"Aufgepasst, alle zusammen!"	"Bon, écoutez tous !"	"¡Bien, que todos atiendan!"	"Эй вы все, слушай сюда!"	"E va bene, ascoltate!"	要开始点名了， 你们竖起耳朵听清楚！ 	おまえら、 よく聞け！			
&Text.Guards.ShakedownNames	$name та $inmate!	$name und $inmate!	$name et $inmate !	¡$name y $inmate!	$name и $inmate!	$name e $inmate!	$name 和 $inmate ！ 	$nameと$inmate！			
&Text.Guard.CharacterTardy	$name! Рухайся!	$name! Beweg dich!	$name ! On se bouge !	¡$name! ¡En marcha!	$name! Шевелитесь!	"$name! Muoversi, aria!"	$name！ 快点！ 	$name！早くしろ！			
&Text.Guard.CharacterTardy	$name! Ти запізнився!	$name! Du bist spät!	$name ! T'es en retard !	¡$name! ¡Llegas tarde!	$name! Ты опоздал!	$name! Sei in ritardo!	$name！ 你迟到了！ 	$name！遅いぞ！			
&Text.Guard.Naked	$name! Світити дупою тут не можна!	$name! Flitzen ist hier nicht!	$name ! On est pas chez les nudistes !	¡$name! ¡Está prohibido ir desnudo!	$name! Прилюдно оголяться запрещено!	$name! È proibito correre nudi!	$name！ 禁止裸奔！ 	$name！裸で走るのは禁止だ！			
&Text.Guard.CharacterTardy	$name! Прямуй туди, де ти маєш бути!	"$name! Geh dahin, wo du sein sollst!"	$name ! Retourne à ta place !	¡$name! ¡Vete a tu sitio!	$name! Иди на свое место!	$name! Vai dove dovresti essere!	$name！ 赶紧去该去的地方！ 	$name！決まった場所へ行け！			
&Text.Guard.Heat	$name! Стій!	$name! Halt!	$name ! Stop !	¡$name! ¡Para!	$name! Стоп!	$name! Fermati!	$name！ 站住！ 	$name！止まれ！			
&Text.Guard.Naked	$name! Не світи грішним!	$name! Kein Flitzen!	$name ! Personne à poil !	¡$name! ¡Nada de nudismo!	$name! Никакого нудизма!	$name! Non si corre nudi!	$name！ 不许裸奔！ 	$name！このヘンタイめ！			
&Text.Guard.Naked	$name! Одягнися! Зараз!	$name! Kleidung! Jetzt!	$name ! Couvre-moi ça !	¡$name! ¡Ropa! ¡Ahora!	$name! Оденься! Сейчас!	$name! Vestiti! Subito!	$name！ 穿好衣服！  利索点！ 	$name！服だ！早くしろ！			
&Text.Guards.GetDownFromThere	$name! Спускайся, або ми тебе дістанемо!	Komm runter oder wir holen dich.	$name ! Descends ou je te descends.	¡$name! Baja o te reviento.	$name! Слезай сам или мы тебя снимем	$name! Vieni giù o ti buttiamo giù	$name！ 给我下来， 不然就对你不客气	$name！力ずくで下ろされたいか！			
&Text.GuardAlert.Fighting	$name! Припини!	$name! Lass das!	$name ! Stop !	¡$name! ¡Desiste!	$name! Прекрати!	$name! Arrenditi!	$name！ 住手！ 	$name！よせ！			
&Text.Guard.NaughtyLocation	$name! Вимітайся звідси!	$name! Raus da!	$name ! Sors de là !	"¡$name, sal de ahí!"	$name! Вылезай оттуда!	$name! Vai via da lì!	$name！ 给我出来！ 	$name！そこから出ろ！			
&Text.Guard.NaughtyLocation	$name! Що ти тут робиш?!	$name! Was machst du da drin?!	$name ! Qu'est-ce que tu fiches ici ?	¡$name! ¡¿Qué haces ahí?!	$name! Что ты там делаешь?	$name! Che ci fai lì?!	$name！ 你在那里干嘛？	$name！そこで何やってる？			
&Text.Guard.Work	"$name, до верстату!"	"$name, an die Arbeit!"	"Au boulot, $name !"	"¡$name, a trabajar!"	"$name, за работу!"	"$name, fila a lavorare!"	$name， 快去干活！ 	$name、 働け！			
&Text.Guard.Naked	"$name, ніхто не хоче цього бачити!"	"$name, das will niemand sehen!"	"$name, personne ne veut voir ça !"	"¡$name, nadie quiere ver eso!"	"$name, никто не хочет это видеть!"	"$name, nessuno vuole vederti!"	$name， 你那么做没人会高兴！ 	$name、 誰もそんなモノは見たくない！			
&Text.Guards.GetDownFromThere	"$name, спускайся звідти!"	"$name, komm da runter!"	"$name, descends de là !"	"¡$name, baja de ahí!"	"$name, слезай оттуда!"	"$name, scendi da lì!"	$name， 从那里下来！ 	$name、 そこから下りろ！			
&Text.Guard.CharacterTardy	"$name, мерщій!"	"$name, leg einen Zahn zu!"	"Plus vite, $name !"	"¡$name, acelera el ritmo!"	"$name, живее!"	"$name, più veloce!"	$name， 别磨蹭！ 	$name、 モタモタするな！			
&Text.Guard.Naked	"$name, де твоя гідність?"	"$name, schämst du dich nicht?"	"Où est ta dignité, $name !"	"$name, ¿dónde está tu dignidad?"	"$name, где твое достоинство?"	"$name, dove hai messo la dignità?"	$name， 你节操何在？	$name、 誇りはないのか？			
&Text.Guard.Naked	"$name, одягнися!"	"$name, zieh dich an!"	"$name, habille-toi !"	"¡$name, vístete!"	"$name, прикройся!"	"$name, vestiti!"	$name， 把衣服穿上！ 	$name、 服を着ろ！			
&Text.Lockdown	*Позіхає*	*Gähn*	*Baille*	*Bostezo*	*Зевает*	*Yawn*	*打哈欠*	ふあ～あ…			
&Text.Inmates.JobChat	*Свистить*	*Pfeift*	*Siffle*	* Silbido *	* Свистит *	* Fischio *	*吹口哨*	フンフンフ～ン			
&Text.NPC.Maintenance.Idle	*Схлипує*	*schluchz*	Snif.	*lloriqueo*	*всхлипывает*	*sob*	*呜咽*	シクシク…			
&Text.Inmates.Showers	*Підморгує*	*Zwinker*	Hum.	*Guiño*	*Подмигивает*	*Blink*	*眨眼*	うっふ～ん			
&Text.Visitor.Leave	…подумав, що тобі варто знати!	"... dachte, ich sag dir das!"	... je pensais que ça t'intéresserait !	... ¡pensé que lo querías saber!	"...подумал, что надо тебе сообщить!"	...pensavo di dovertelo dire!	……就跟你说一声！ 	…ま、 いちお伝えとこうと思ってさ！			
&Text.Visitor.Leave	...це все, дійсно	... das war alles.	... et c'est tout.	... eso es todo.	...это действительно все	"...è tutto, davvero"	……真没别的事了	…話は以上だ			
&Text.Visitor.Leave	…ось і все	... das war’s schon.	... et voilà.	... y ya está.	…вот и все	...ecco tutto	……就这些了	…そんなところだ			
&Text.Guards.GoReport	...Це місце розсипається!	... Hier geht alles in die Binsen!	... Cet endroit tombe en ruines !	... ¡Este lugar se cae a pedazos!	...Это место разваливается на куски!	...Questo posto sta cadendo a pezzi!	……这地方要塌了！ 	…建物がぶっ壊されてる！			
&Text.Inmates.Banter	…і мене зустріли оплесками	... und wurde mit Applaus empfangen.	... et j'ai reçu des applaudissements.	... y me recibieron con aplausos.	...и меня приветствовали аплодисментами	...e sono stato accolto con un applauso	……当初还有人鼓掌迎接我呢	…そして歓声に迎えられた			
&Text.Guards.Gym	…І ані жодного сорому!	... Und zeig keine Scham!	Ne montrez aucune peur !	... ¡Y sin vergüenza!	...И ему еще не стыдно!	...Non avete pudore!	……不要表现出羞愧！ 	…恥ずかしがるな！			
&Text.Inmates.DetachedFromEquipment	... ?	...?	... ?	...?	...?	... ?	……？	…？			
&Text.Inmates.Gym	1...2...3...10.. Готово!	1 ... 2 ... 3 ... 10 ... Fertig!	"1, 2, 3, 10... C'est bon !"	1...2...3...10... ¡Hecho!	1...2...3...10.. Готово!	1... 2... 3... 10... Fatto!	1… 2… 3… 10… 搞定！ 	1…2…3…10、 終了！			
&Text.Guards.Lockdown	"1, 3, 8, 4… Трясця, не можу я усіх цих дурисвітів порахувати!"	"1, 3, 8, 4 ... Mann, ich kann die Knackis nicht zählen?!"	"1, 3, 8, 4... Je vais tous les compter ?!"	"1, 3, 8, 4... Tío, ¡no puedo ni contarlos!"	"1, 3, 8, 4… Слышь, не могу сосчитать всех зэков!"	"1, 3, 8, 4… Cavoli, non riesco a contarli tutti!"	1、 3、 8、 4… 老天， 我居然没法数清所有的罪犯？	1、 3、 8、 4…って、 全員数えんのか？			
&Text.Inmates.JobChat	25 років...	25 Jahre ...	25 ans...	25 años...	25 лет...	25 anni...	25年了……	25年か…			
&Text.NPC.MedicSolitary	Відпочинь в одинці!	Ab in die Einzelhaft!	Repose-toi en isolement !	¡Descansa en aislamiento!	Отдохни в карцере!	Riposa in isolamento!	在禁闭室好好休息吧！ 	独房で休んでろ！			
&Text.Guards.RollCallMain	Повіяли вітри змін…	Aber der Wind dreht sich ...	Le vent tourne...	Soplan vientos de cambio...	Пришло время перемен...	Ma il vento sta cambiando...	风向变了……	風向きが変わったか…			
&Text.Inmates.Banter	Вони ніколи не відберуть нашу свободу	Aber niemals nehmen sie uns die Freiheit.	Ils n'auront jamais notre liberté !	Nunca nos robarán la libertad.	Они никогда не отберут у нас свободу	Non prenderanno mai la nostra libertà	我们永远无法夺走我们的自由	ヤツらに自由は奪わせねえ			
&Text.GuardAlert.Flood	Здуріти можна!	Ach du Schande!	Bordel !	¡Por los cielos!	Черт возьми!	Per l’amor del cielo!	见了个鬼！ 	なんてこった！			
&Text.Guards.RollCallStart	Увага!	Achtung!	Attention !	¡Atención!	Внимание!	Attenti!	注意了！ 	ちゅうもーく！			
&Text.Inmates.PlayerRep2	Поглянь	Achtung.	Attention.	¡Cuidado!	Смотри	Guarda	当心	用心しな			
