Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
OVERRIDE=CenterPerks											
&Text.Guards.RollCallStart	"Усе гаразд, друзі?"	"Alles okay, Leute?"	"Ça va, les gars ?"	"¿Todo bien, gente?"	Все в порядке?	"Come va, gente?"	大伙儿没事吧？	全員いるか？ 			
&Text.Guards.RollCallMain	Що ж, ми будемо до вас ласкавими	Also machen wir es einfach für euch.	On va y aller doucement...	Así que os lo vamos a poner fácil.	Поэтому мы будем вести себя тактично	Quindi ci andremo piano con voi	我们打算放你们一马	まあ、 手加減してやるさ			
&Text.Guards.Gym	Вражає!	Beeindruckend!	Bluffant !	¡Espectacular!	Впечатляет!	Incredibile!	了不起！	すごいぞ！ 			
&Text.Guards.Gym	Прошу, вгамуйтесь	Beruhig dich bitte.	Calme-toi.	"¡Chicos, calmaos!"	"Успокойтесь, прошу"	Calma	请冷静	落ち着くんだ			
&Text.Guards.FoodHall	Це навіть ліпше ніж те, що отримуємо ми	"Besser, als unseres."	On nous sert moins bien.	Es mejor de lo que nos dan.	"Лучше, чем то, что нам дают"	Meglio della nostra sbobba	比我们的待遇好	我々のメシよりマシだ			
&Text.Inmates.GuardBanter	Мене можна обійняти	Bin zum Knuddeln.	Un câlin ?	Soy achuchable.	Меня хочется обнять	Un abbraccio?	我接受拥抱	抱きついていいぞ			
&Text.Guards.Showers	Будь ласка, без панібратства	Bitte keine Verbrüderung.	On ne fraternise pas !	Sin acercamientos.	"Пожалуйста, без амикошонства"	Non fraternizzate	请不要亲近	いちゃつきは禁止だ			
&Text.Guards.RollCallMain	Будь ласка, більше ніяких жартів про начальника	Bitte keine weiteren Witze über den Wächter.	Évitez de faire des blagues sur le directeur.	"No más chistes sobre el alcaide, por favor."	"Пожалуйста, больше никаких шуток о надзирателе"	Basta con le barzellette sul direttore	请不要开典狱长的玩笑	所長の悪口はその辺にしておけ			
&Text.Inmates.GuardBanter	Прошу вас, не бігайте - ви ж поранитесь!	Bitte nicht laufen – ihr tut euch noch weh!	"Arrête de courir, tu vas te blesser !"	¡No corráis! ¡Os vais a hacer daño!	Не бегайте — вы можете пораниться!	"Non correre, ti farai del male!"	请不要逃跑， 你们会弄伤自己的！	走るな、 ケガするぞ！ 			
