Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
OVERRIDE=DLC05								
								
								
&Text.Guards.RollCallStart	Eyes forwards!	Augen geradeaus!	Regardez devant vous !	¡Mirad al frente!	Глядеть вперед!	Occhi avanti!	向前看！	前を向け！
&Text.Guards.RollCallStart	Stand still!	Stillgestanden!	Tenez-vous droit !	¡Quietecitos!	Стоять ровно!	State fermi!	站直！	動くな！
&Text.Guards.RollCallStart	Who's talking?!	Wer spricht da?!	Qui a parlé ?!	¡¿Quién habla?!	Кто там болтает?!	Chi è che parla?!	谁在说话？！	私語を慎め！
&Text.Guards.RollCallStart	Get in line!	"Los, einreihen!"	Tous en rang !	¡En fila!	Встать в шеренгу!	In riga!	站排！	まっすぐ並べ！
&Text.Guards.RollCallStart	You're a statistic now!	Ihr seid jetzt eine Statistik!	"Vous n'êtes plus que des chiffres, désormais !"	¡Ahora solo sois un número!	"Теперь вы не люди, а статистика!"	Ora siete solo una cifra in una statistica!	你现在正式加入了！	今のお前らはただの数字だ！
								
								
&Text.Guards.RollCallMain	Keep those grubby fingers off the vases!	Haltet eure dreckigen Finger von den Vasen fern!	Pas touche aux vases avec vos sales pattes !	¡Las zarpas fuera de los jarrones!	Уберите свои загребущие руки от ваз!	Giù quelle manacce dai vasi!	别拿你的脏手碰那些花瓶！	汚い手でツボに触るな！
&Text.Guards.RollCallMain	You're lucky to be somewhere with such history	"Ihr habt Glück, an einem Ort mit so viel Geschichte zu sein."	Vous avez de la chance d'être dans un leu historique !	Tenéis suerte de estar en un sitio con tanta historia.	Считайте себя счастливчиками: вы оказались в месте с такой богатой историей	Siete fortunati ad essere in un posto così pieno di storia	能来到历史这么悠久的地方是你的荣幸	豊かな歴史に触れられて運のいい奴らだ
&Text.Guards.RollCallMain	This building has had to deal with tougher foes than you lot	Dieses Gebäude hatte es schon mit härteren Gegnern zu tun.	Ce bâtiment a connu des gaillards bien plus dangereux que vous.	Este lugar ha tenido que enfrentarse a tipos más duros que vosotros.	Это здание повидало ребят и посерьезнее вас	Quest’edificio ha dovuto sopportare nemici più duri di voi gentaglia	这座建筑对付过比你们强劲得多的对手	この城の前じゃ、お前らはひよっ子だ
&Text.Guards.RollCallMain	Nobody is getting past those walls	Niemand schafft es über diese Mauern.	Personne ne s'échappe d'ici.	Nadie pasa por esos muros.	Через эти стены никто не переберется	Nessuno uscirà da queste mura	没人能通过哪些高墙	あの城壁を越えられた奴はいない
&Text.Guards.RollCallMain	You'll catch dysentery just by looking at that moat	"Man kriegt schon Dysenterie, wenn man den Burggraben nur ansieht."	Vous vous ferez dessus rien qu'en jetant un œil aux douves !	"Si miras al foso, pillas la disentería."	Вы заболеете дизентерией от одного взгляда на этот ров	Basta guardare il fossato perché vi venga la dissenteria	就算只是看看那些护城河，都会让你身染痢疾	あの堀を見ただけで、赤痢にかかっちまうぞ
&Text.Guards.RollCallMain	Don't try anything funny…	Kommt nicht auf dumme Ideen …	Ne jouez pas aux héros...	No intentéis nada...	Не пытайтесь ничего затеять...	Non provate a fare scherzi...	别做傻事......	妙な気は起こすなよ…
&Text.Guards.RollCallMain	You're here for the long haul!	Ihr seid für eine lange Zeit hier!	Vous êtes là pour un sacré bout de temps !	¡Vais a pasar aquí una larga temporada!	Вас ждет множество испытаний!	Resterete qui a lungo termine!	你要在这儿呆很久！	ここでのお勤めは長くなるぞ！
&Text.Guards.RollCallMain	Some of these paintings are worth more than your lives	Manche dieser Gemälde sind mehr wert als euer Leben.	Certains de ces tableaux valent plus que votre vie.	Algunas de esas pinturas valen más que vosotros.	"Некоторые из этих картин стоят дороже, чем ваши шкуры"	Alcuni di questi quadri valgono più delle vostre vite	有些画作比你们的命值钱得多	お前らの命より尊い絵もあるんだ
								
								
&Text.Inmates.GuardBanter	That moat stinks	Dieser Burggraben stinkt.	Ces douves empestent.	Ese foso es un asco.	Этот ров воняет	Quel fossato puzza	那条护城河太臭了	あの堀の臭いこと臭いこと
&Text.Inmates.GuardBanter	I trained hard for this	Ich habe hierfür hart trainiert.	J'ai travaillé dur pour en arriver là.	Me he entrenado duro para esto.	"Мне пришлось пройти сложное обучение, чтобы здесь работать"	Mi sono allenato duramente per questo	我为此曾刻苦训练	このために必死で鍛えてきた
&Text.Inmates.GuardBanter	Nobody escapes on my watch	"Niemand entkommt, wenn ich da bin."	Personne ne se fait la malle tant que je suis là.	Nadie se escapa durante mi turno.	В мою смену никто не сбежит	Nessuno evade quando sono di turno io	没人能在我的监视下逃脱	誰も逃がしはしない
&Text.Inmates.GuardBanter	I got an endorsement for beat downs	Ich darf offiziell Prügel austeilen.	J'ai carte blanche pour les passages à tabac.	Me han subido de rango por dar palizas.	У меня есть разрешение на побои	Ho ricevuto l’approvazione per i pestaggi	有监狱支持，我可以殴打囚犯	ボコボコにしていいってお許しが出てる
&Text.Inmates.GuardBanter	There's a hidden meaning in that painting	Es gibt eine versteckte Botschaft in diesem Gemälde.	Ce tableau a un sens caché.	Esa pintura tiene un significado oculto.	В этой картине есть скрытый смысл	In quel dipinto c’è un messaggio nascosto	这幅画后面有一个隐藏通道	あの絵には秘密が隠されてんだ
&Text.Inmates.GuardBanter	I could paint better than that	Ich könnte besser malen.	"Même moi, je pourrais peindre mieux que ça."	Yo podría dibujar mejor.	Я и то лучше рисую	Perfino io dipingo meglio di così	我画的都比这强	オレの絵のほうがマシだっての
&Text.Inmates.GuardBanter	Found a cookie in one of those vases	Hab in einer der Vasen einen Keks gefunden.	J'ai trouvé un cookie dans un de ces vases.	Encontré una galleta en uno de esos jarrones.	В одной из этих ваз было печенье	Ho trovato un biscotto in uno di quei vasi	在花瓶中找到一块饼干	あのツボの中でクッキーを見つけた
&Text.Inmates.GuardBanter	"*That* is my favourite statue, classic!"	"*Das* ist meine Lieblingsstatue, klassisch!"	"C'est ma statue préférée, un *classique* !"	"*Esa* es mi estatua favorita, ¡qué clásica!"	*Вот* моя любимая статуя. Это классика!	*Quella* è la mia statua preferita! Un classico!	*那*是我最喜欢的雕像，堪称经典！	あれこそ、一流の彫像だ！
&Text.Inmates.GuardBanter	The phone signal in here is awful	Der Empfang hier ist schrecklich.	"La couverture réseau ne vaut pas un rond, ici."	La cobertura aquí es terrible.	Связь здесь очень плохо ловит	Il telefono qui non prende nemmeno a pregarlo	这里的手机信号太差了	ここは電波が悪いな
&Text.Inmates.GuardBanter	Warden refuses to install WiFi	"Der Wächter weigert sich, WLAN zu installieren."	Le directeur refuse d'installer le wi-fi.	El alcaide se niega a poner WiFi.	Надзиратель отказывается установить Wi-Fi	Il Direttore si rifiuta di installare il WiFi	监狱长拒绝安装 WiFi	所長がWiFiは入れたくないって
&Text.Inmates.GuardBanter	Hope these are insured…	Die sind hoffentlich versichert …	J'espère que c'est couvert par l'assurance...	Espero que lo cubra el seguro...	"Надеюсь, они застрахованы..."	Spero che siano assicurati...	希望这些东西买了保险......	保険はかけてあるよな…
&Text.Inmates.GuardBanter	I heard footsteps on the roof…	Ich habe Schritte auf dem Dach gehört …	J'ai entendu un bruit sur le toit...	Oigo pisadas en el techo...	Мне послышались шаги на крыше...	Ho sentito dei passi sul tetto...	我听到屋顶有脚步声......	誰か屋根を歩いてたぞ…
&Text.Inmates.GuardBanter	The warden's toilet is the fanciest thing I've ever seen…	"Die Toilette des Wächters ist das Schickste, was ich je gesehen habe …"	Les toilettes du directeur sont vraiment royales...	El baño del alcaide es muy mono...	"Туалет у надзирателя — это самая необычная вещь из всех, что мне попадались..."	Il bagno del direttore è la cosa più bella che abbia mai visto...	监狱长的厕所是我见过的最豪华的东西......	所長室のトイレは豪華すぎんぞ…
&Text.Inmates.GuardBanter	"They call it classic, I call it gaudy…"	"Sie nennen es klassisch, ich nenne es protzig …"	"Ça fait classique, paraît-il. Je trouve ça vulgaire..."	"Ellos lo llaman clásico, yo lo llamo hortera..."	"Они называют это классикой, а я — безвкусицей..."	"Lo chiamano “classico”, io lo chiamo “pacchiano”..."	他们称之为经典，我称之为俗......	古典的っていうかケバいけどな…
&Text.Inmates.GuardBanter	Floors are collapsing all over the place	Der Boden bricht überall ein.	Le sol s'effondre dans tout le château.	Se está cayendo el suelo por todas partes.	Во всём замке полы проваливаются	I pavimenti crollano già solo a guardarli	这地方快塌了	どこもかしこも床が抜けてやがる
&Text.Inmates.GuardBanter	Some fancy looking armour upstairs	Oben gibt’s ein paar schicke Rüstungen.	C'est une belle armure qu'il y a là-haut.	Hay armaduras con muy buena pinta ahí arriba.	Наверху есть необычные доспехи	Al piano di sopra c’è una bella armatura	楼上有套华丽的盔甲	オシャレなよろいが上の階にあるぞ
&Text.Inmates.GuardBanter	Some rancid stuff floating in that moat	Widerliches Zeug schwimmt im Burggraben.	Un truc pas net flotte dans les douves.	Hay cosas asquerosas flotando en el foso.	В этом рве плавает что-то мерзкое	C’è del marcio in quel fossato	护城河里漂着某种已经腐败发臭的物体	あのくっさい掘になんか浮いてら
&Text.Inmates.GuardBanter	This building deserves better than this	Dieses Gebäude hat Besseres verdient.	Ce bâtiment mérite mieux que ça.	Este edificio se merece algo mejor que esto.	Это здание заслуживает лучшего обращения	Questo edificio merita di meglio	这座建筑不应该受到这种对待	せっかくの城が泣いてるぜ…
&Text.Inmates.GuardBanter	There's a cracking documentary about this place	Es gibt eine großartige Dokumentation über diesen Ort.	J'ai vu un super documentaire sur cet endroit.	Hay un documental sobre este lugar.	Об этом здании сняли потрясающий документальный фильм	Il documentario su questo posto fa scompisciare	有一部专门为这地方制作的纪录片	この城はドキュメンタリーにもなってる
&Text.Inmates.GuardBanter	Wish I could guard somewhere with heating…	"Ich wünschte, ich könnte irgendwo Wache haben, wo es beheizt ist …"	Si seulement on avait le chauffage...	Si pudiera trabajar en un sitio con calefacción...	Мне бы хотелось охранять какое-нибудь отапливаемое место...	Vorrei poter fare la guardia in un posto riscaldato...	真希望能在暖和点的地方当保安......	暖房のある場所で働きたい…
								
								
&Text.NPC.Warden	I thought scurvy wasn't a thing anymore! Guess I was wrong…	"Ich dachte, Skorbut wäre heutzutage kein Thema mehr! Hab mich wohl geirrt …"	Je croyais que le scorbut avait disparu ! On dirait que j'avais tort...	¡Creía que el escorbuto se había erradicado! Supongo que me equivocaba...	"Мне казалось, что цинга ушла в прошлое! Кажется, это не так..."	Credevo che lo scorbuto fosse una cosa del passato! Mi sa che avevo torto...	我觉得坏血病已经消失了！事实证明我错了......	壊血病は過去の病かと思ったが…
&Text.NPC.Warden	This could be an excellent attraction	Das wäre eine ausgezeichnete Attraktion.	Ça pourrait faire une attraction géniale.	Esto sería un parque temático estupendo.	Здесь можно было бы устроить отличный аттракцион	Questo posto potrebbe essere un’ottima attrazione	应该能吸引到他们的注意力	ここは最高の観光地になる
&Text.NPC.Warden	"Still, better than having team building days hosted here"	"Auf jeden Fall besser, als hier Teambuilding-Events zu veranstalten."	C'est toujours mieux que les événements d'entreprise.	"Aún así, es mejor que acoger viajes para fomentar el trabajo en equipo."	"И это всё еще лучше, чем проводить здесь тимбилдинг"	È comunque meglio che organizzare qui delle gite tra colleghi...	但是，总比有人在这儿搞团建好	それでも職員に金をかけるよりはマシだ
&Text.NPC.Warden	These cons don't stand a chance	Die Knackis haben keine Chance.	Ces détenus n'ont pas la moindre chance.	No hay ninguna posibilidad con tanta desventaja.	У этих мошенников просто нет шансов	Questi detenuti non ce la possono fare	那群混蛋毫无机会	囚人どもに勝ち目などない
&Text.NPC.Warden	The heating bill here is unbelievable…	Die Heizkosten hier sind unglaublich …	La facture de chauffage est effrayante...	Menudas facturas de calefacción deben pagar...	Счета за отопление просто огромные...	La bolletta del riscaldamento è allucinante...	这里的采暖费高的吓人......	この城の暖房費はバカげてる…
&Text.NPC.Warden	Surely we could sell one or two of the paintings	Wir könnten sicherlich ein oder zwei dieser Gemälde verkaufen.	Nous devrions pouvoir vendre un tableau ou deux...	Seguro que podríamos vender una o dos pinturas.	Мы можем продать одну-две картины	Di certo potremmo vendere un paio di quadri	我们应该可以卖一两幅画	絵画の1つや2つ、売っても構わんだろう
