Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese				
												
OVERRIDE=Space Prison												
&Text.Guards.FoodHall	*Кашляє*	*hust*	*Tousse*	*Tos*	*Кхе-кхе*	*Coff*	*咳嗽*	コホン				
&Text.Inmates.Banter	Є якісь новини зі Землі?	Gibt’s Neues von der Erde?	Du neuf de la Terre ?	¿Hay noticia de la Tierra?	Есть новости с Земли?	Novità dalla Terra?	有地球的消息吗？	地球から何か報告は？ 				
&Text.Guards.RollCallMain	Хоч одна витівка - і ми одразу ж висаджуємо вас на наступній планеті	Ein Späßchen und wir werfen dich beim nächsten Planeten raus	"À la moindre magouille, nous vous débarquons sur la prochaine planète."	A la mínima broma te dejamos en el siguiente planeta.	Кто будет безобразничать — того вышвырнем на следующей планете	Date problemi e vi scaricheremo sul prossimo pianeta	耍花招的话， 就把你们丢在下一个星球上	少しでも“おいた” を働いてみろ、 次の星に捨ててってやるぞ				
&Text.Visitor.Leave	Хай там як, наразі це все	"Wie auch immer, das ist alles"	"Ben, c'est tout ce que j'ai."	"Aún así, es lo que tengo."	Но больше нечего предложить	Ho detto tutto ciò che dovevo	不管怎样， 我就知道这么多了	とにかく、 今日のところは以上だ				
&Text.Inmates.Banter	Схоже, це дозволило скоротити Кессельську дугу до 12 парсеків	Es soll das Kesselrennen in weniger als 12 Parsecs geschafft haben	"Apparemment, il a parcouru le Raid de Kessel en moins de 12 parsecs."	Supuestamente completó la carrera Kessel en menos de 12 parsecs.	Этот корабль точно прошел Дугу Кесселя менее чем в 12 парсеков	Si dice che abbia fatto la rotta di Kessel in meno di 12 parsec	显然， 这艘飞船让科舍尔航道只飞了不到12秒差距	この船は明らかに、 ケッセルランを12パーセク以下で飛んでみせた				
&Text.Visitor.Greet	Нарешті ся дістав!	Endlich angekommen!	Enfin arrivé !	¡Por fin llegué!	Наконец-то!	"Eccomi, finalmente!"	终于到了！	やっと着いたぁ！  				
&Text.Inmates.FoodHall	Принаймні, смакує воно ліпше, ніж пахне	Wenigstens schmeckt es besser als es riecht	Au moins le goût est meilleur que l'odeur.	Por lo menos sabe mejor de lo que huele.	"На вкус лучше, чем на запах"	"Meglio il sapore che l’odore, comunque"	至少吃起来没闻上去那么糟糕	ニオイに比べたら、 味はマシだが				
&Text.Inmates.Banter	Поверніть мене додому…	Beam mich runter ...	Éclaire-moi...	Bájame.	Телепортируйте меня отсюда...	"Dai, sparami..."	把我放下去……	降ろしてくれ… 				
&Text.Guards.FoodHall	Ну як, у захваті від наших смачних космічних наїдків?	Lässt du dich auf einen leckeren Kosmos von Köstlichkeiten entführen?	Transportés par un cosmos savoureux de délices comestibles ?	¿Te llevan a un sabroso cosmos repleto de delicias comestibles?	"Еда — космос, да?"	Vi state lasciando trasportare da queste delizie cosmiche?	在美食的宇宙中迷失了吗？	妙なる美食の銀河に酔いしれてしまったか？ 				
&Text.Inmates.Banter	"Прямо по курсу чорна діра!"	Schwarzes Loch voraus!	Trou noir droit devant !	"¡Agujero negro, justo delante!"	"Черная дыра, прямо по курсу!"	Buco nero a dritta!	正前方有个黑洞！	目の前にブラックホールが！  				
&Text.Visitor.Greet	"Я ненадовго, у мене яйця на…"	"Kann nicht bleiben, Essen ist auf’m Herd."	"Je dois filer, j'ai un œuf sur le feu..."	"No puedo estar mucho, tengo la comida..."	"Не могу задержаться, молоко убегает..."	"Ho poco tempo, ho il pollo nel forno..."	我不能待太久， 有人催我呢……	長くはいられない、 事情があってね… 				
&Text.Inmates.Banter	Які наші шанси на подолання поясу астероїдів?	"Wie stehen die Chancen, ein Asteroidenfeld heile zu durchqueren?"	On a des chances de traverser sans danger un champ d'astéroïdes ?	¿Qué probabilidades hay de no estrellarse en un campo de asteroides?	"Шансы, что мы успешно пройдем поле астероидов?"	Ci sono buone probabilità di attraversare un campo di asteroidi?	成功穿越小行星带的几率是多少？	小惑星帯を無傷で切り抜けられる確率は？ 				
&Text.Guards.FoodHall	"Ну ж бо, покваптеcя"	"Komm schon, beeil dich mal"	"Allez, dépêche-toi."	"Venga, date prisa."	"Эй, поторапливайся!"	"Forza, sbrigatevi"	快点快点	さっさと食え、 急げ				
&Text.Inmates.FoodHall	Можна я візьму се зі собою?	Könnte ich das einpacken lassen?	On peut prendre « à emporter » ?	¿Me lo pones 'para llevar'?	Можно забрать остатки с собой?	Posso portarlo via?	我能把这个打包带走吗？	テイクアウトできる？ 				
