Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
OVERRIDE=Tutorial								
								
Text.Tutorial.A	Отже, одного ранку я прокинувся і збагнув: «Достатньо з мене». Я хотів вирватися. Прийшов час покинути се місце."	"Ich wachte also eines Morgens auf, und dachte mir: genug ist genug. Ich wollte raus. Es war an der Zeit, diesen Ort zu verlassen."	"Alors voilà : je me suis levé un matin et je me suis dit « bon, y'en a marre ». Je voulais sortir d'ici. Il était temps de quitter cet endroit."	"Y sin más, me levanté una mañana y pensé: ""Ya basta"". Tenía que salir. Ya era hora de dejar este sitio."	"Итак, однажды утром я просыпаюсь, и в голове у меня только одна мысль: хватит. Я хочу на свободу. Пришло время выбираться."	"E così, una mattina mi sono svegliato e ho pensato: ora basta. Volevo uscire da qui, era arrivato il momento di andarmene da questo posto."	一天早上， 一觉醒来的我对自己说： 我受够了。 我要出去。 是时候离开这里了。 	そうとも。 ある朝、 オレは目が覚めて思った。 もうウンザリだ。 出てってやる。 こんな場所とはオサラバだってな。
								
Text.Tutorial.B	"Я відчинив свій стіл через [IN=Open] і витягнув все зсередини за допомогою [IN=UI_Submit], оскільки я знав, що ці речі знадобляться мені пізніше, щоб втекти з цієї в’язниці…"	"Ich öffnete das Pult mit [IN=Open] und benutzte [IN=UI_Submit], um mir alles zu schnappen, was drin lag. Ich wusste, dass ich diese Gegenstände später brauchen würde, um aus diesem Laden auszubrechen ..."	"J'ai ouvert le bureau avec [IN=Open] et j'ai pris tout ce qui s'y trouvait en utilisant [IN=UI_Submit], car je savais que j'en aurais besoin plus tard pour me faire la malle…"	"Abrí el escritorio con [IN=Open] y cogí todo lo que había dentro usando [IN=UI_Submit], ya que sabía que necesitaría esos objetos más tarde para salir de este antro..."	"Я открываю стол, нажав кнопку [IN=Open], и забираю все вещи оттуда, используя кнопку[IN=UI_Submit]. Я знаю, что всё это мне пригодится, чтобы выбраться из этого притона..."	Ho aperto il tavolo con [IN=Open] e ho preso tutto ciò che c'era dentro con [IN=UI_Submit]: sapevo che questa roba mi sarebbe servita per scappare...	我用 [IN=Open] 打开桌子并用 [IN=UI_Submit] 拿走了里面的一切。 我知道， 一会儿越狱时用得上这些东西…… 	オレは[IN=Open]で机を開け、 [IN=UI_Submit]で中身を取り出した。 わかってたのさ。 いざこのムショから逃げるとなれば、 こういう道具が必要になるって…
								
Text.Tutorial.C	Я змайстрував зброю, натиснувши [IN=Open Ingame Menu], щоб перевірити чи є усі необхідні предмети для її створення. Я виділив її і поєднав два предмети разом, використовуючи [IN=UI_Submit].	"Ich fertigte eine Waffe, indem ich [IN=Open Ingame Menu] drückte, um zu überprüfen, welche Gegenstände ich für so ein Ding brauchte. Ich wählte sie aus und verband die beiden Gegenstände, indem ich [IN=UI_Submit] benutzte."	J'ai fabriqué une arme en appuyant sur [IN=Open Ingame Menu] pour vérifier que j'avais tous les objets nécessaires. Je l'ai sélectionnée et j'ai rassemblé les deux éléments en utilisant [IN=UI_Submit].	"Para saber qué necesitaba para fabricar un arma, pulsé [IN=Open Ingame Menu] y la hice. Los resalté y creé las dos cosas juntas con [IN=UI_Submit]."	"Я нажимаю кнопку [IN=Open Ingame Menu], чтобы проверить, есть ли у меня всё необходимое для изготовления оружия. Я выделяю нужные предметы, а затем соединяю их вместе, нажав кнопку [IN=UI_Submit]."	Ho creato un'arma premendo [IN=Open Ingame Menu] per scoprire cosa mi servisse per creare un oggetto del genere. L'ho evidenziata e ho fuso insieme i due oggetti con [IN=UI_Submit].	我按 [IN=Open Ingame Menu] 查看了制作武器所需的物品。 我将其高亮显示， 并按 [IN=UI_Submit] 将两样物品组合了在一起。 	オレは今あるモンで武器を作れないか、 [IN=Open Ingame Menu]を押して確かめた。 そして[IN=UI_Submit]で2つの道具を選択し、 組み合わせた。 
Text.Tutorial.C_PC	Я змайстрував зброю, натиснувши [IN=Hotkey_CraftingMenu], щоб перевірити чи є усі необхідні предмети для її створення. Я виділив її і поєднав два предмети разом, використовуючи [IN=UI_Submit].	"Ich fertigte eine Waffe, indem ich [IN=Hotkey_CraftingMenu] drückte, um zu überprüfen, welche Gegenstände ich für so ein Ding brauchte. Ich wählte sie aus und verband die beiden Gegenstände, indem ich [IN=UI_Submit] benutzte."	J'ai fabriqué une arme en appuyant sur [IN=Hotkey_CraftingMenu] pour vérifier que j'avais tous les objets nécessaires. Je l'ai sélectionnée et j'ai rassemblé les deux éléments en utilisant [IN=UI_Submit].	"Para saber qué necesitaba para fabricar un arma, pulsé [IN=Hotkey_CraftingMenu] y la hice. Los resalté y creé las dos cosas juntas con [IN=UI_Submit]."	"Я нажимаю кнопку [IN=Hotkey_CraftingMenu], чтобы проверить, есть ли у меня всё необходимое для изготовления оружия. Я выделяю нужные предметы, а затем соединяю их вместе, нажав кнопку [IN=UI_Submit]."	Ho creato un'arma premendo [IN=Hotkey_CraftingMenu] per scoprire cosa mi servisse per creare un oggetto del genere. L'ho evidenziata e ho fuso insieme i due oggetti con [IN=UI_Submit].	我按 [IN=Hotkey_CraftingMenu] 查看了制作武器所需的物品。 我将其高亮显示， 并按 [IN=UI_Submit] 将两样物品组合了在一起。 	オレは今あるモンで武器を作れないか、  [IN=Hotkey_CraftingMenu]を押して確かめた。 それから[IN=UI_Submit]で2つの道具を選択し、 組み合わせた。 
								
