Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese			
											
OVERRIDE=OldWestFort											
&Text.Inmates.Banter	…тож я луснув його кактусом	... also schlug ich ihn mit einem Kaktus.	Alors je l'ai frappé avec un cactus.	... así que le di con un cactus.	...поэтому я швырнул в него кактусом	...quindi l'ho colpito con un cactus	……我用仙人掌揍了他	…だもんで、 サボテンでぶん殴ってやった			
&Text.Inmates.Banter	Я в нікого не стріляв, хто на те не заслуговує	"Habe niemanden erschossen, der’s nicht verdient hat."	Je n'ai descendu personne qui ne l'a pas mérité.	Nunca he disparado a nadie que no se lo mereciese.	"Я стрелял только в тех, кто сам нарывался"	Non ho mai sparato a qualcuno che non se lo meritasse	我射的家伙都是罪有应得	撃っていいヤツしか撃ったことねえぜ			
&Text.Inmates.Banter	Все, що я зробив - затримав карету	Ich habe nur die Postkutsche aufgehalten.	J'ai seulement braqué la diligence...	Todo lo que hice fue tomar el escenario.	Все что я сделал — это задержал дилижанс	Ho soltanto rapinato la diligenza	我只是抢劫了驿站马车	駅馬車を襲ったくらいでよお			
&Text.Inmates.Banter	Завжди пий вище за течією від стада	Trink immer stromaufwärts von der Herde.	Ne jamais boire en aval d'un troupeau.	Bebe siempre río arriba pasando el rebaño.	"Всегда пей выше по течению, чем стадо"	Mai bere a valle del bestiame	总是在牧群的上游喝水	美味いのは常に上流の水さ			
&Text.Inmates.Banter	А я доглядаю за кроликами	Und ich darf mich um die Hasen kümmern.	Et je peux m'occuper des lapins.	Y yo tengo que cuidar de los conejos.	А я начал разводить кроликов	E io mi occuperò dei conigli	我得去照料兔子了	ウサギに餌をやらねえと			
&Text.Guards.RollCallMain	Є запитання?	Fragen?	Des questions ?	¿Alguna pregunta?	Есть вопросы?	Domande?	有什么问题吗？	なにか質問は？  			
&Text.Guards.RollCallMain	Як казав мій батя на ранчо…	Wie Papa damals auf der Ranch zu sagen pflegte ...	Comme disait mon vieux au ranch...	Como papá solía decir en el rancho...	Как говорил мой батя на ранчо...	Come diceva mio padre al ranch...	以前在牧场时我爸常说……	親父が牧場でよく言ってたよ…			
&Text.Inmates.Banter	Запитай про мене - я відомий	Frag nach mir – man kennt mich.	"Tout le monde me connaît, ici."	"Pregunta por mí, me conocen."	Спроси обо мне — меня все знают	Chiedi di me: sono famoso	问我的事吧。我小有名气	この辺じゃオレは有名人さ			
&Text.Inmates.Banter	Колсь наш загін був відомий як «Ниці скакуни»…	Damals waren wir als „Sleazy Riders“ bekannt ...	"À l'époque, notre bande s'appelait les Cowboys de Tchernobyl..."	Nuestra banda era conocida como los «Jinetes apestosos».	Когда-то наша банда была известна под именем «Грязные всадники»...	Anni fa chiamavano la mia banda gli 'Sleazy Rider'...	过去，别人管我们这帮人叫‘污脏骑士’……	あの頃は“汚い馬乗りども”と恐れられてたもんさ…			
&Text.Inmates.Banter	Господи, як тут сухо…	"Mann, echt trocken hier ..."	Qu'est-ce que c'est sec ici...	"Chico, esto sí que está seco."	Вокруг точно ни капли воды...	Certo che il clima è proprio secco...	这地方可真干燥啊……	ここはマジで乾いてやがる…			
&Text.Inmates.Banter	Поховайте мене разом із моїми грішми	Begrab mich mit meinem Geld.	Je mourrai avec mon trésor.	Enterradme con mi dinero.	Закопай меня в моих деньгах	Morirò con i miei soldi	把我的钱和我葬在一起	金と一緒に埋めてくれ			
&Text.Guards.RollCallMain	Але то вам ніяке не родео!	Aber das ist kein Rodeo!	Mais c'est pas un rodéo !	¡Pero esto no es ningún rodeo!	Это вам не родео!	Ma non siamo mica al rodeo!	可这不是牛仔竞技比赛！	だが、 こいつはロデオじゃない！			
&Text.Inmates.Banter	Стверджують, що він є найшвидший стрілець на заході	War die schnellste Pistole im Westen.	Il disait être la plus fine gâchette de l'Ouest.	Decía ser la pistola más rápida del oeste.	Он считал себя самым быстрым стрелком на Западе	Diceva di essere la pistola più veloce del West	自称是西部第一快枪	西部一の早撃ちってのはオレ様のこった			
Text.Escape.Crate.Interact	Змайструвати коробку	Kiste basteln	Fabriquer caisse	Construir caja	Сделать ящик	Costruisci cassa	制作箱子	木箱を作る			
&Text.Inmates.Banter	У окружній в’язниці все було набагато спокійніше	Das Kreisgefängnis war viel entspannter.	La prison du comté était bien plus relax.	La cárcel del condado era más relajada.	Окружной судья был намного спокойнее	Era più tranquilla la prigione di contea	县上的监狱比这儿放松多了	郡のムショはもっと緩かったよ			
&Text.Guards.RollCallMain	Не звинувачуйте жару	Nicht Schuld der Hitze.	Ne rejette pas la faute sur la chaleur !	No culpes al calor.	Не вини жару	Non date la colpa al caldo	别怪高温	暑さのせいにするな			
&Text.Inmates.Banter	Не присідай з острогами	Hock dich mit Sporen nie hin.	Ne t'accroupis pas sur tes éperons.	No te agaches con las espuelas puestas.	Не присаживайся с надетыми шпорами	Non sederti sui tuoi speroni	别蹲，你还穿着马刺呢	拍車をつけたまま座るなよ			
&Text.Inmates.Banter	Раз на рік і палка стріляє	Ein blindes Huhn ...	On a tous une heure de gloire	A cada cerdo le llega su San Martín.	Всякому может повезти	Tutti hanno il loro giorno di gloria	凡人皆有得意日	誰にでもいい時はあるもんさ			
&Text.Inmates.Banter	Кожна зброя грає по-своєму	Jedes Gewehr singt anders.	Chaque flingue chante à sa façon.	Cada pistola tiene su sonido.	У каждого ружья своя мелодия	Ogni pistola ha la sua voce	每把枪都有独特的枪声	銃の音色ってのはみんな違う			
Text.Escape.Trash.MultiplayerProximity	Треба, щоби тут були всі, аби втекти!	"Um fliehen zu können, müssen alle da sein."	Tout le monde doit être là pour s'évader !	¡Todos tenemos que estar aquí para escapar!	"Все должны быть на месте, чтобы сбежать!"	Devono essere tutti qui per potercene andare!	大家都到齐后才能离开！	全員がそろわないと脱獄できない！			
&Text.Inmates.Banter	"Відчуй, оце справжня шкіра змії"	"Fühl mal, echte Schlangenhaut."	"Touche, c'est du croco."	"Tócalo, auténtica piel de serpiente."	Попробуй — настоящая змеиная кожа	"Senti, è vera pelle di serpente"	摸摸看，这是货真价实的蛇皮	触ってみ、 本物のヘビ皮だ			
