Text ID	English	German	French	Spanish	Russian	Italian		Japanese
								
Text.Menu.PressStart	Press the [IN=UI_Submit] Button to start	Zum Start den [IN=UI_Submit]-Knopf drücken	Appuyez sur le bouton [IN=UI_Submit] pour commencer	Pulsa el botón [IN=UI_Submit] para comenzar	"Нажмите кнопка [IN=UI_Submit], чтобы начать"	Premi il pulsante [IN=UI_Submit] per iniziare		[IN=UI_Submit]ボタンでスタート
Text.ActivityFeed.EscapedPrison5.Cap	$USER_NAME_OR_ID is looking in from outside the Fort Tundra!	$USER_NAME_OR_ID blickt von außen in den Fort Tundra rein!	$USER_NAME_OR_ID contemple le Fort Tundra de l'extérieur !	¡$USER_NAME_OR_ID está contemplando el Fort Tundra desde fuera!	$USER_NAME_OR_ID вырвался из-за решеток Fort Tundra!	$USER_NAME_OR_ID sta guardando il Fort Tundra da fuori!		$USER_NAME_OR_ID は「フォートツンドラ」を塀の外から見物中！ 
Text.ActivityFeed.EscapedPrison1.Cap	$USER_NAME_OR_ID is relaxing outside of Centre Perks 2.0!	$USER_NAME_OR_ID entspannt sich außerhalb von Centre Perks 2.0!	$USER_NAME_OR_ID se prélasse hors de Centre Perks 2.0 !	¡$USER_NAME_OR_ID está relajándose en los alrededores de Centre Perks 2.0!	$USER_NAME_OR_ID оттягивается за стенами Centre Perks 2.0!	$USER_NAME_OR_ID si rilassa fuori dal Centre Perks 2.0!		$USER_NAME_OR_ID は「センターパークス2.0」の外でリラックス中！ 
Text.ActivityFeed.BeatenFriend.Con	$USER_NAME_OR_ID has beaten $STORY_COUNT of their friends scores	$USER_NAME_OR_ID hat $STORY_COUNT Freunde in der Punktzahl überboten.	$USER_NAME_OR_ID a battu le score de $STORY_COUNT de ses amis.	$USER_NAME_OR_ID ha superado $STORY_COUNT de las puntuaciones de sus amigos.	$USER_NAME_OR_ID побил $STORY_COUNT очков друзей	$USER_NAME_OR_ID ha battuto $STORY_COUNT punteggi dei suoi amici		$USER_NAME_OR_ID がフレンドのスコアを $STORY_COUNT 個更新した！
Text.ActivityFeed.VersusWin.Con	$USER_NAME_OR_ID has won $VERSUS_WINS Versus games!	$USER_NAME_OR_ID hat $VERSUS_WINS Versus-Spiele gewonnen!	$USER_NAME_OR_ID a gagné $VERSUS_WINS parties Versus !	¡$USER_NAME_OR_ID ha ganado $VERSUS_WINS partidas en modo Contra!	$USER_NAME_OR_ID выиграл $VERSUS_WINS игр(ы) с соперником!	$USER_NAME_OR_ID ha vinto $VERSUS_WINS partite VS!		$USER_NAME_OR_ID が対戦モードで $VERSUS_WINS 回勝った！
Text.ActivityFeed.VersusWin.Cap	$USER_NAME_OR_ID has won a Versus game!	$USER_NAME_OR_ID hat ein Versus-Spiel gewonnen!	$USER_NAME_OR_ID a gagné une partie Versus !	¡$USER_NAME_OR_ID ha ganado una partida en modo Contra!	$USER_NAME_OR_ID победил в режиме Соперник!	$USER_NAME_OR_ID ha vinto una partita VS!		$USER_NAME_OR_ID が対戦モードで勝利した！
Text.ActivityFeed.BeatenScore.Con	$USER_NAME_OR_ID has set a new best score	$USER_NAME_OR_ID hat eine Bestpunktzahl gesetzt.	$USER_NAME_OR_ID a battu son meilleur score.	$USER_NAME_OR_ID ha establecido un nuevo récord.	$USER_NAME_OR_ID установил новый рекордный счет	$USER_NAME_OR_ID ha totalizzato un nuovo record		$USER_NAME_OR_ID がハイスコアを更新した
Text.ActivityFeed.BeatenFriend.Cap	$USER_NAME_OR_ID just got one up on %FRIEND%. New score of %SCORE% for this prison.	$USER_NAME_OR_ID hat einen Vorteil über %FRIEND%. Neue Punktzahl von %SCORE% für dieses Gefängnis.	$USER_NAME_OR_ID a pris l'avantage sur %FRIEND%. Nouveau score de %SCORE% dans cette prison.	$USER_NAME_OR_ID acaba de subir un puesto en %FRIEND%. Nueva puntuación de %SCORE% para esta prisión.	$USER_NAME_OR_ID только что получил преимущество над другом %FRIEND%. Новый счет для этой тюрьмы: %SCORE%	$USER_NAME_OR_ID ha dato una lezione a %FRIEND%. Nuovo punteggio di %SCORE% per questa prigione.		$USER_NAME_OR_ID が %FRIEND% を上回り、この刑務所のハイスコアを %SCORE% に更新した。
Text.ActivityFeed.BeatenScore.Cap	$USER_NAME_OR_ID has set a new best score of %SCORE% on this prison.	$USER_NAME_OR_ID hat in dem Gefängnis eine Bestpunktzahl von %SCORE% gesetzt.	$USER_NAME_OR_ID a battu son meilleur score dans cette prison : %SCORE%.	$USER_NAME_OR_ID ha establecido un nuevo récord de %SCORE% en esta prisión.	$USER_NAME_OR_ID установил новый рекорд для этой тюрьмы: %SCORE%.	$USER_NAME_OR_ID ha totalizzato un nuovo record di %SCORE% in questa prigione.		$USER_NAME_OR_ID がこの刑務所のハイスコアを %SCORE% に更新した。
