Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese
								
								
								
								
Text.Quest.Vampire.Name	Чим він займається в тінях…	Rot Schreck!	Bon sang!	Lo que hace en la sombra...	Что он творит во тьме...	Cosa fa nelle ombre...	阴影里到底是什么…… 	闇にうごめく者
Text.Quest.Vampire.Desc	"Ти, мабуть, знаєш, що на стриху цієї в’язниці є вампір. Щоразу, як я прокидаюся, у мене появляються сліди його укусів.\n\nМені треба, аби ти дістав мені крем після бриття. Сподіваюсь, у цієї почвари жахнуться смакові рецептори, як воно наступного разу полізе до моєї шиї!"	"Du musst wissen, dass es hier auf dem Dachboden einen Vampir gibt. Ich wache immer mit Bissspuren von diesem Blutsauger auf. \n\n Du musst mir Aftershave besorgen; das wird seine Geschmacksknospen hoffentlich beim nächsten Mal abschrecken, wenn er mir wieder an den Hals will!"	"Tu sais peut-être qu'il y a un vampire dans le grenier, ici. Je me réveille toujours avec des morsures infligées par ce suceur de sang. \n\nJ'ai besoin que tu me trouves de l'après-rasage, j'espère que ça gênera suffisamment les papilles de ce vampire pour qu'il reste loin de mon cou !"	"Seguramente sepas que hay un vampiro en el ático de este edifico. Siempre me levanto con marcas de mordeduras de ese chupasangre. \n\nNecesito aftershave, ¡espero que con eso se le quiten las ganas de acercarse a mi cuello!"	"Возможно, вы знаете - на чердаке этого здания обитает вампир. Я каждое утро нахожу на себе следы укусов этого кровососа. \n\n Мне нужно, чтобы вы принесли мне лосьон после бритья - надеюсь, его вкус не понравится этой твари, и она будет держаться подальше от моей шеи."	"Forse hai saputo che c'è un vampiro qui nell'attico. Mi sveglio sempre con i segni dei morsi di quel succhiasangue. \n\n Ho bisogno che mi procuri del Dopobarba, magari gli farà passare la voglia la prossima volta che mi si avvicina al collo!"	你也知道这地方的阁楼上有吸血鬼吧。 每次我醒来的时候， 身上都会有那些玩意儿的咬痕。 \n\n你得帮我找一瓶须后水， 等他再往我脖子上咬一口， 估计就会对那个味道终身难忘吧！ 	あんたも気づいたかも しれねえが、 この建物の屋根裏には 吸血鬼が棲んでるのさ。 オレなんて 毎朝起きると、 あいつの咬みあとが 首筋に残ってんだぜ！\n\nそこであんたに 「シェーブローション」を 探してきてもらいたい。 今度あいつが オレの首に 咬みついてきたら、 あのケミカルな味で 追っ払って やるのさ！
Text.Quest.Vampire.FirstObjective	Візьміть пред. $ItemToGet та поверніться до перс. $QuestGiver	Hole „$ItemToGet“ und bringe es $QuestGiver zurück	Trouver $ItemToGet et retourner voir $QuestGiver	Obtén el/la $ItemToGet que devolver a $QuestGiver.	Забрать и вернуть владельцу ($QuestGiver): $ItemToGet	Ottieni $ItemToGet e dai l’oggetto a $QuestGiver	获取 $ItemToGet 并回去找 $QuestGiver 	$ItemToGet を入手し、 $QuestGiver に届ける
Text.Quest.Vampire.Pt2.Desc	"У-у-ух… Вибач, та жахлива істота знову сидить у мене на шиї.\n\nВироби мені, будь ласка, опудало на ліжко. Я збираюся заманити сього сосунця та несподівано його прикінчити!"	"Urrghh ... Tut mir leid, diese abscheuliche Kreatur war wieder an meinem Hals. \n\nDu musst mir eine Attrappe fürs Bett herstellen; ich werde den Blutsauger reinlegen, damit er erscheint und ich ihn fertigmachen kann, wenn er es am wenigsten erwartet!"	"Euuurgh... Désolé, cette hideuse créature s'est encore attaquée à mon cou. \n\nJ'ai besoin que tu me fabriques un mannequin pour mon lit, je vais le piéger pour qu'il apparaisse et lui sauter dessus quand il s'y attendra le moins !"	"Argh... Lo siento, esa horrible criatura me ha vuelto a morder el cuello. \n\nVoy a necesitar que me construyas un muñeco de cama, ¡voy a engañar a ese chupasangre para que aparezca y lo quitaré de en medio cuando menos se lo espere!"	"Уфф... Извиняюсь, эта ужасная тварь снова сосала из меня кровь. \n\nМне нужно, чтобы вы сделали для меня куклу-валик, чтобы подложить ее в кровать вместо себя. Попробую провести этого кровососа - как только он появится, я расправлюсь с ним."	"Arrghhh... Scusa, quell'orribile creatura mi ha di nuovo attaccato al collo. \n\nAvrò bisogno che mi prepari un Manichino per attirare l'attenzione di quel maledetto, così lo farò fuori quando meno se lo aspetta!"	呃…… 抱歉， 那个恶心的东西又在咬我的脖子了。 \n\n你得帮我造个睡觉假人出来， 我要骗骗这个家伙， 然后趁他们不备干掉他们！ 	うぐおぉぉぉ…すまねえ、 またあのバケモノに 首を咬まれちまってよ。 \n\nあんたが「ダミー人形」を 作ってくれたら、 あの吸血鬼を ころっと騙せるかもしれねえ。 んでもって後ろから ぶちのめしてやるのさ！
Text.Quest.Vampire.SecondObjective	Змайструйте пред. $ItemToCraft та віднесіть перс. $DeliverTo	Fertige „$ItemToCraft“ und gib das $DeliverTo	Fabriquer un $ItemToCraft et le donner à $DeliverTo	Crea un/a $ItemToCraft que entregar a $DeliverTo.	Изготовить: $ItemToCraft. Передать: $DeliverTo	Crea $ItemToCraft per $DeliverTo	制作 $ItemToCraft 并将其交给 $DeliverTo 	$ItemToCraft を作成し、 $DeliverTo に届ける
Text.Quest.Vampire.Pt3.Desc	"Знов це кляте чудовисько мене вкусило…\n\nТепер усе, що мені потрібно, це дерев’яний кіл, і тоді я зможу створити пастку та покінчити з вампіром назавжди!\n\nЧув, що наглядачі зберігають дерев’яні у підвалі в’язниці."	"Die verdammte Kreatur hat mich schon wieder gebissen ... \n\n Jetzt brauche ich nur noch einen Holzpflock, dann kann ich ihm eine Falle stellen und den Spuk beenden! \n\n Ich habe gehört, dass die Wachen hier im Keller einen Holzpflock lagern."	"Je me suis encore fait mordre par cette créature... \n\nIl me faut juste un pieu en bois, et je pourrai le piéger et en finir pour de bon ! \n\nJ'ai entendu dire que les gardiens stockent des pieux en bois au sous-sol."	"Esa maldita criatura me ha vuelto a morder... \n\nAhora todo lo que necesito es una estaca de madera, ¡así podré acabar con esto de una vez por todas! \n\nHe oído que los guardias tienen una estaca de madera en el sótano del edificio."	"Эта проклятая тварь снова меня покусала... \n\n Все, что мне теперь нужно, это деревянный кол - тогда я смогу устроить на него засаду и покончить с ним! \n\n Я слышал, что у охранников есть деревянный кол, они держат его в подвале."	"Quella dannata creatura mi ha morso di nuovo... \n\n Mi serve un Paletto di legno, così potrò tendergli una trappola e farla finita con questa storia! \n\n Ho sentito che le guardie hanno un Paletto di legno nei sotterranei di questo posto."	这该死的东西又咬我了…… \n\n现在我需要一个木桩， 然后设一个陷阱， 永绝后患！ \n\n我听说守卫们在这儿的地下室里收着一个木桩。 	あのバケモノにまた 咬まれちまった…\n\nもはや「木の杭」を 手に入れるしかねえ。 そしたらオレが ワナを仕掛けて、 このイタチごっこに ケリをつけてやらあ！\n\n聞いた話じゃ、 看守どもはこの建物の 地下室に 「木の杭」を 保管してるそうだぞ。 
