Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese	
									
Text.Item.Gemstone	Самоцвіт	Edelstein	Pierre précieuse	Gema	Драгоценный камень	Gemma	宝石	宝石	
Text.Item.MoltenMetal	Розтоплений метал	Geschmolzenes Metall	Métal fondu	Metal fundido	Расплавленный металл	Metallo fuso	熔化的金属	溶けた金属	
Text.Item.ReplicaLute	Репліка лютні	Lauten-Nachbildung	Réplique de luth	Réplica de laúd	Копия лютни	Replica di un liuto	鲁特琴仿造品	リュートのレプリカ	
Text.Item.TorchFuel	Скипидар	Fackelbrennstoff	Huile de torche	Combustible	Топливо для факела	Combustibile per torcia	火炬燃料	たいまつの油	
Text.Item.MetalIngot	Металевий виливок	Metallbarren	Lingot de métal	Lingote de metal	Металлический слиток	Lingotto di metallo	金属锭	金属塊	
Text.Item.Horseshoe	Підкова	Hufeisen	Fer à cheval	Herradura	Подкова	Ferro di cavallo	马蹄铁	蹄鉄	
Text.Item.Rivets	Нюти	Nieten	Rivets	Remaches	Заклепки	Rivetti	铆钉	リベット	
Text.Item.WoodenPeg	Дерев’яний клинець	Holzbolzen	Cheville en bois	Estaca de madera	Деревянный колышек	Piolo di legno	木栓	木のペグ	
Text.Item.LeatherStrap	Смужка шкіри	Lederriemen	Lanière de cuir	Tira de piel	Кожаный ремень	Cinghia in cuoio	皮带	革ひも	
Text.Item.StoneTablet	Скрижаль	Steintafel	Tablette de pierre	Tabla de piedra	Каменная табличка	Tavoletta di pietra	石碑	石板	
Text.Item.PlasticChalice	Дешева пластикова чаша	Billiger Plastikkelch	Coupe en plastique bon marché	Cáliz de plástico barato	Дешевая пластиковая чаша	Calice di plastica dozzinale	劣质塑料杯	安物のプラ杯	
Text.Item.MedievalHalbard	Саморобна алебарда	Provisorische Hellebarde	Hallebarde de fortune	Alabarda improvisada	Самодельная алебарда	Alabarda di fortuna	临时用戟	即席ハルバード	
Text.Item.MedievalStaff	Саморобний посох	Provisorischer Stab	Bâton de fortune	Bastón improvisado	Самодельный посох	Bastone di fortuna	临时木棒	即席こん棒	
Text.Item.MedievalSword	Саморобний меч	Provisorisches Schwert	Épée de fortune	Espada improvisada	Самодельный меч	Spada di fortuna	临时长剑	即席の剣	
Text.Item.MedievalHelmet	Саморобний лицарський шолом	Provisorischer Ritterhelm	Heaume de chevalier de fortune	Yelmo de caballero improvisado	Самодельный рыцарский шлем	Elmo da cavaliere di fortuna	临时骑士头盔	即席かぶと	
Text.Item.MedievalChestPlate	Саморобний нагрудник	Provisorischer Harnisch	Plastron de fortune	Peto improvisado	Самодельный нагрудник	Piastra pettorale di fortuna	临时护胸	即席胸当て	
Text.Item.MedievalGreaves	Саморобні наголінники	Provisorische Beinschienen	Grèves de fortune	Grebas improvisadas	Самодельные наголенники	Gambiere di fortuna	临时胫甲	即席すね当て	
Text.Item.MedievalGauntlets	Саморобні рукавиці	Provisorische Panzerhandschuhe	Gantelets de fortune	Guanteletes improvisados	Самодельные латные рукавицы	Guanti in metallo di fortuna	临时护手	即席ガントレット	
Text.Item.MedievalHalfCatapultFrame	Пів рами катапульти	Halber Katapultrahmen	Demi cadre de catapulte	Medio bastidor de catapulta	Половина рамы для катапульты	Metà telaio per catapulta	半成品弹射器框架	カタパルトの骨組みの半分	
Text.Item.MedievalCatapultBeam	Балка катапульти	Katapultbalken	Bras de catapulte	Brazo de catapulta	Балка катапульты	Braccio della catapulta	弹射器梁	カタパルトのはり	
Text.Item.MedievalCatapultBucket	Кошик катапульти	Katapultbehälter	Panier de catapulte	Bolsa de catapulta	Ковш для катапульты	Cucchiara della catapulta	弹射器筐	カタパルトの投石カップ	
Text.Item.MedievalWoodenOar	Дерев’яне весло	Holzruder	Rame en bois	Remo de madera	Деревянное весло	Remo di legno	木制桨	木のオール	
Text.Item.MedievalCatapultCounterWeight	Противага катапульти	Katapult-Gegengewicht	Contrepoids de catapulte	Contrapeso de catapulta	Противовес катапульты	Contrappeso della catapulta	弹射器配重	カタパルトのおもり	
									
Text.CaidensDesk.Title	Стіл Кайдена	Pult von Caiden	Bureau de Caiden	Escritorio de Caiden	Стол Кайдена	Tavolo di Caiden	凯登的书桌	カイデンの机	
									
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////									
									
Text.ConstructCatapult.Interact	Змайструвати катапульту	Katapult bauen	Fabriquer une catapulte	Construir catapulta	Сделать катапульту	Costruisci catapulta	弹射器结构图	カタパルトを組み立てる	
									
Text.CatapultEscape.Stage01.Fail	Потрібно зробити пів раму катапульти…	Wir müssen einen halben Katapultrahmen herstellen …	Nous devons fabriquer un demi cadre de catapulte...	Tenemos que fabricar medio bastidor de catapulta...	Нам нужно сделать половину рамы для катапульты…	Dobbiamo creare una Metà telaio per catapulta...	我们需要制作一个半成品弹射器框架......	「カタパルトの骨組みの半分」を作らないと…	
Text.CatapultEscape.Stage01.Succeed	"Файно, тепер ще одну частину!"	"Sehr gut, jetzt die andere Hälfte!"	"Parfait, passons maintenant à la deuxième moitié !"	"¡Muy bien, ahora la otra mitad!"	"Отлично, а теперь нужна вторая половина!"	"Ottimo, ora ci serve l’altra metà!"	很好， 现在制作另一半！	よし、残り半分だ！	
Text.CatapultEscape.Stage02.Fail	Слід змайструвати другу пів раму катапульти…	Wir müssen einen weiteren halben Katapultrahmen herstellen …	Nous devons fabriquer un autre demi cadre de catapulte...	Tenemos que fabricar otro medio bastidor de catapulta...	Нам нужно сделать вторую половину рамы для катапульты…	Dobbiamo creare un'altra Metà telaio per catapulta...	我们需要制造另一个半成品弹射器框架......	「カタパルトの骨組みの半分」をもう1個作らないと…	
Text.CatapultEscape.Stage02.Succeed	Далі нам потрібна балка катапульти…	Als Nächstes müssen wir den Katapultbalken herstellen …	Il nous faut maintenant un bras de catapulte...	Ahora tenemos que fabricar un bastidor de catapulta...	Далее нам нужно сделать балку катапульты…	Adesso dobbiamo creare il Braccio della catapulta...	下一步我们需要制作一个弹射器梁......	次は「カタパルトのはり」だ…	
Text.CatapultEscape.Stage03.Fail	Треба змайструвати балку катапульти	Wir müssen einen Katapultbalken herstellen.	Nous devons fabriquer un bras de catapulte.	Tenemos que fabricar un bastidor de catapulta.	Нам нужно сделать балку катапульты	Dobbiamo creare un Braccio della catapulta	我们需要制作一个弹射器梁......	「カタパルトのはり」を作ろう	
