Text ID	English	German	French	Spanish	Russian	Italian	Chinese	Japanese		
										
Text.Item.Cardboard	Cardboard	Pappe	Carton	Cartón	Картон	Cartone	纸板	段ボール		
Text.Item.BluePaint	Blue Paint	Blaue Farbe	Peinture bleue	Pintura azul	Синяя краска	Pittura blu	蓝色油漆	青色のペンキ		
Text.Item.RedPaint	Red Paint	Rote Farbe	Peinture rouge	Pintura roja	Красная краска	Pittura rossa	红色油漆	赤色のペンキ		
Text.Item.YellowPaint	Yellow Paint	Gelbe Farbe	Peinture jaune	Pintura amarilla	Желтая краска	Pittura gialla	黄色油漆	黄色のペンキ		
Text.Item.LaptopPassword	Laptop Password	Laptop-Passwort	Mot de passe de l’ordinateur portable	Contraseña de portátil	Пароль от ноутбука	Password del portatile	笔记本电脑密码	ノートPCのパスワード		
Text.Item.SleighChipset	Sleigh Chipset	Schlitten-Chipsatz	Puce électronique du traineau	Chip de trineo	Микросхемы для саней	Chipset della slitta	雪橇芯片组	ソリのチップセット		
Text.Item.ReindeerFood	Reindeer Food	Rentierfutter	Nourriture pour renne	Comida para renos	Оленья еда	Cibo per renne	麋鹿食物	トナカイのエサ		
Text.Item.DicedVegetables	Diced vegetables	Gewürfeltes Gemüse	Légumes découpés	Hortalizas troceadas	Нарезанные овощи	Verdure tagliate	切碎蔬菜	角切りの野菜		
Text.Item.OilCan	Oil Can	Ölkanne	Bidon d’huile	Lata de aceite	Канистра с маслом	Latta d'olio	机油罐	油差し		
Text.Item.USBStick	USB Stick	USB-Stick	Clé USB	Lápiz USB	USB-флешка	Chiavetta USB	USB盘	USBスティック		
Text.Item.CandyCane	Candy Cane	Zuckerstange	Sucre d’orge	Bastón de caramelo	Конфета в виде трости	Bastoncino di zucchero	糖拐杖	キャンディーケイン		
Text.Item.AIModule	AI Module	KI-Modul	Module d’IA	Módulo de IA	Модуль ИИ	Modulo IA	AI模块	AIモジュール		
Text.Item.CardboardBox	Cardboard Box	Karton	Boite en carton	Caja de cartón	Картонная коробка	Scatola di cartone	纸板箱	段ボール箱		
Text.Item.CandyPain	Candy Pain	Zuckerbange	Bonbon douleur	Dolor de caramelos	Зубная боль от конфет	Dolore zuccheroso	痛拐杖	キャンディーペイン		
										
/////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////										
										
Text.Menu.DLCName06	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	雪中逃狱	雪の脱出		
Text.Prison.DLC06	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	Snow Way Out	雪中逃狱	雪の脱出		
